in s,C1 in V,C4 in V
-7.56000E-08,2.44141E-01,-3.98242E-02
-7.54000E-08,1.46484E-01,-3.98242E-02
-7.52000E-08,-4.88281E-02,-3.00586E-02
-7.50000E-08,-4.88281E-02,-2.51758E-02
-7.48000E-08,1.46484E-01,-2.51758E-02
-7.46000E-08,1.46484E-01,-3.00586E-02
-7.44000E-08,-2.44141E-01,-3.49414E-02
-7.42000E-08,-6.34766E-01,-3.98242E-02
-7.40000E-08,-6.34766E-01,-3.98242E-02
-7.38000E-08,-4.39453E-01,-3.49414E-02
-7.36000E-08,-2.44141E-01,-3.49414E-02
-7.34000E-08,-2.44141E-01,-3.98242E-02
-7.32000E-08,-2.44141E-01,-3.98242E-02
-7.30000E-08,-1.46484E-01,-3.00586E-02
-7.28000E-08,-4.88281E-02,-2.51758E-02
-7.26000E-08,-1.46484E-01,-3.00586E-02
-7.24000E-08,-2.44141E-01,-3.98242E-02
-7.22000E-08,-2.44141E-01,-3.98242E-02
-7.20000E-08,-1.46484E-01,-3.98242E-02
-7.18000E-08,-2.44141E-01,-3.98242E-02
-7.16000E-08,-3.41797E-01,-3.00586E-02
-7.14000E-08,-3.41797E-01,-1.54102E-02
-7.12000E-08,-2.44141E-01,-1.05273E-02
-7.10000E-08,-2.44141E-01,-2.51758E-02
-7.08000E-08,-3.41797E-01,-3.98242E-02
-7.06000E-08,-3.41797E-01,-3.98242E-02
-7.04000E-08,-3.41797E-01,-3.00586E-02
-7.02000E-08,-3.41797E-01,-2.51758E-02
-7.00000E-08,-3.41797E-01,-2.51758E-02
-6.98000E-08,-1.46484E-01,-2.51758E-02
-6.96000E-08,-4.88281E-02,-2.51758E-02
-6.94000E-08,-1.46484E-01,-3.00586E-02
-6.92000E-08,-2.44141E-01,-3.49414E-02
-6.90000E-08,-1.46484E-01,-3.49414E-02
-6.88000E-08,-4.88281E-02,-3.49414E-02
-6.86000E-08,-4.88281E-02,-4.47070E-02
-6.84000E-08,-4.88281E-02,-4.47070E-02
-6.82000E-08,-4.88281E-02,-3.49414E-02
-6.80000E-08,-1.46484E-01,-2.51758E-02
-6.78000E-08,-2.44141E-01,-3.49414E-02
-6.76000E-08,-1.46484E-01,-3.98242E-02
-6.74000E-08,4.88281E-02,-3.00586E-02
-6.72000E-08,4.88281E-02,-1.05273E-02
-6.70000E-08,-1.46484E-01,-1.05273E-02
-6.68000E-08,-3.41797E-01,-3.00586E-02
-6.66000E-08,-2.44141E-01,-4.47070E-02
-6.64000E-08,-1.46484E-01,-4.95898E-02
-6.62000E-08,-2.44141E-01,-4.95898E-02
-6.60000E-08,-3.41797E-01,-4.47070E-02
-6.58000E-08,-3.41797E-01,-3.49414E-02
-6.56000E-08,-1.46484E-01,-2.51758E-02
-6.54000E-08,-4.88281E-02,-1.54102E-02
-6.52000E-08,-1.46484E-01,-1.54102E-02
-6.50000E-08,-2.44141E-01,-2.02930E-02
-6.48000E-08,-2.44141E-01,-2.51758E-02
-6.46000E-08,-1.46484E-01,-3.00586E-02
-6.44000E-08,-4.88281E-02,-3.98242E-02
-6.42000E-08,4.88281E-02,-4.47070E-02
-6.40000E-08,-4.88281E-02,-3.98242E-02
-6.38000E-08,-2.44141E-01,-3.00586E-02
-6.36000E-08,-3.41797E-01,-2.51758E-02
-6.34000E-08,-2.44141E-01,-2.51758E-02
-6.32000E-08,-4.88281E-02,-3.00586E-02
-6.30000E-08,-1.46484E-01,-3.49414E-02
-6.28000E-08,-2.44141E-01,-3.98242E-02
-6.26000E-08,-2.44141E-01,-4.47070E-02
-6.24000E-08,4.88281E-02,-3.98242E-02
-6.22000E-08,2.44141E-01,-3.49414E-02
-6.20000E-08,3.41797E-01,-3.49414E-02
-6.18000E-08,2.44141E-01,-3.98242E-02
-6.16000E-08,4.88281E-02,-3.49414E-02
-6.14000E-08,-1.46484E-01,-2.51758E-02
-6.12000E-08,-3.41797E-01,-3.00586E-02
-6.10000E-08,-3.41797E-01,-4.47070E-02
-6.08000E-08,-1.46484E-01,-4.47070E-02
-6.06000E-08,4.88281E-02,-3.00586E-02
-6.04000E-08,-4.88281E-02,-1.54102E-02
-6.02000E-08,-4.39453E-01,-2.02930E-02
-6.00000E-08,-6.34766E-01,-3.49414E-02
-5.98000E-08,-5.37109E-01,-3.49414E-02
-5.96000E-08,-2.44141E-01,-3.00586E-02
-5.94000E-08,-1.46484E-01,-3.49414E-02
-5.92000E-08,-2.44141E-01,-4.95898E-02
-5.90000E-08,-4.39453E-01,-4.95898E-02
-5.88000E-08,-4.39453E-01,-3.98242E-02
-5.86000E-08,-4.39453E-01,-3.00586E-02
-5.84000E-08,-3.41797E-01,-2.51758E-02
-5.82000E-08,-3.41797E-01,-2.02930E-02
-5.80000E-08,-3.41797E-01,-2.51758E-02
-5.78000E-08,-3.41797E-01,-3.49414E-02
-5.76000E-08,-2.44141E-01,-3.98242E-02
-5.74000E-08,-2.44141E-01,-3.49414E-02
-5.72000E-08,-3.41797E-01,-3.00586E-02
-5.70000E-08,-4.39453E-01,-3.98242E-02
-5.68000E-08,-3.41797E-01,-4.47070E-02
-5.66000E-08,-4.88281E-02,-3.98242E-02
-5.64000E-08,-4.88281E-02,-2.51758E-02
-5.62000E-08,-2.44141E-01,-2.02930E-02
-5.60000E-08,-3.41797E-01,-2.51758E-02
-5.58000E-08,-4.88281E-02,-2.51758E-02
-5.56000E-08,1.46484E-01,-2.51758E-02
-5.54000E-08,-4.88281E-02,-3.00586E-02
-5.52000E-08,-4.39453E-01,-3.98242E-02
-5.50000E-08,-5.37109E-01,-4.47070E-02
-5.48000E-08,-3.41797E-01,-3.98242E-02
-5.46000E-08,-1.46484E-01,-3.49414E-02
-5.44000E-08,-4.88281E-02,-3.98242E-02
-5.42000E-08,-1.46484E-01,-4.95898E-02
-5.40000E-08,-2.44141E-01,-5.44727E-02
-5.38000E-08,-4.39453E-01,-4.95898E-02
-5.36000E-08,-4.39453E-01,-3.98242E-02
-5.34000E-08,-2.44141E-01,-3.00586E-02
