pad distance,1st Grouptype,1st GroupIndex,1st Group Section,1st Pad Label,1st Pixel X center,1st Pixel Y center,1st Pad X center,1st Pad Y center,2nd Grouptype,2nd GroupIndex,2nd Group Section,2nd Pad Label,2nd Pixel X center,2nd Pixel Y center,2nd Pad X center,2nd Pad Y center
425.793,RowPad,3,A,X00+,6420.022,16419.804,-57566.616,15100.192,RowPad,3,A,X00-,6420.022,16419.804,-57237.886,14829.57
96036.794,RowPad,3,A,X00-,6420.022,16419.804,-57237.886,14829.57,ColumnPad,0,A,R03+,6420.022,16419.804,28846.158,57404.248
469.574,RowPad,2,B,T00-,8359.956,-9179.869,38951.728,46502.126,RowPad,2,B,X00+,8359.956,-9179.869,39210.458,46893.991
425.793,RowPad,2,B,X00+,8359.956,-9179.869,39210.458,46893.991,RowPad,2,B,X00-,8359.956,-9179.869,38811.728,46744.613
100242.799,RowPad,2,B,X00-,8359.956,-9179.869,38811.728,46744.613,ColumnPad,0,B,R02+,8359.956,-9179.869,35430.458,-53441.143
469.574,RowPad,4,A,T00-,9070.022,21009.739,-54447.886,19661.992,RowPad,4,A,X00+,9070.022,21009.739,-54916.616,19690.127
425.793,RowPad,4,A,X00+,9070.022,21009.739,-54916.616,19690.127,RowPad,4,A,X00-,9070.022,21009.739,-54587.886,19419.505
91928.678,RowPad,4,A,X00-,9070.022,21009.739,-54587.886,19419.505,ColumnPad,0,A,R04+,9070.022,21009.739,29126.158,57404.248
469.574,RowPad,3,B,T00-,11009.956,-13769.804,41601.728,41912.191,RowPad,3,B,X00+,11009.956,-13769.804,41860.458,42304.056
425.793,RowPad,3,B,X00+,11009.956,-13769.804,41860.458,42304.056,RowPad,3,B,X00-,11009.956,-13769.804,41461.728,42154.678
96036.794,RowPad,3,B,X00-,11009.956,-13769.804,41461.728,42154.678,ColumnPad,0,B,R03+,11009.956,-13769.804,35290.458,-53683.63
469.574,RowPad,5,A,T00-,11720.022,25599.673,-51797.886,24251.927,RowPad,5,A,X00+,11720.022,25599.673,-52266.616,24280.061
425.792,RowPad,5,A,X00+,11720.022,25599.673,-52266.616,24280.061,RowPad,5,A,X00-,11720.022,25599.673,-51937.886,24009.44
87932.171,RowPad,5,A,X00-,11720.022,25599.673,-51937.886,24009.44,ColumnPad,0,A,R05+,11720.022,25599.673,29406.158,57404.248
469.574,RowPad,4,B,T00-,13659.956,-18359.739,44251.728,37322.256,RowPad,4,B,X00+,13659.956,-18359.739,44510.458,37714.122
425.793,RowPad,4,B,X00+,13659.956,-18359.739,44510.458,37714.122,RowPad,4,B,X00-,13659.956,-18359.739,44111.728,37564.743
91928.678,RowPad,4,B,X00-,13659.956,-18359.739,44111.728,37564.743,ColumnPad,0,B,R04+,13659.956,-18359.739,35150.458,-53926.117
469.574,RowPad,6,A,T00-,14370.022,30189.608,-49147.886,28841.861,RowPad,6,A,X00+,14370.022,30189.608,-49616.616,28869.996
425.793,RowPad,6,A,X00+,14370.022,30189.608,-49616.616,28869.996,RowPad,6,A,X00-,14370.022,30189.608,-49287.886,28599.374
84063.193,RowPad,6,A,X00-,14370.022,30189.608,-49287.886,28599.374,ColumnPad,0,A,R06+,14370.022,30189.608,29686.158,57404.248
469.574,RowPad,5,B,T00-,16309.956,-22949.673,46901.728,32732.322,RowPad,5,B,X00+,16309.956,-22949.673,47160.458,33124.187
425.793,RowPad,5,B,X00+,16309.956,-22949.673,47160.458,33124.187,RowPad,5,B,X00-,16309.956,-22949.673,46761.728,32974.809
87932.171,RowPad,5,B,X00-,16309.956,-22949.673,46761.728,32974.809,ColumnPad,0,B,R05+,16309.956,-22949.673,35010.458,-54168.604
469.574,RowPad,7,A,T00-,17020.022,34779.542,-46497.886,33431.796,RowPad,7,A,X00+,17020.022,34779.542,-46966.616,33459.931
425.793,RowPad,7,A,X00+,17020.022,34779.542,-46966.616,33459.931,RowPad,7,A,X00-,17020.022,34779.542,-46637.886,33189.309
80340.169,RowPad,7,A,X00-,17020.022,34779.542,-46637.886,33189.309,ColumnPad,0,A,R07+,17020.022,34779.542,29966.158,57404.248
469.574,RowPad,6,B,T00-,18959.956,-27539.608,49551.728,28142.387,RowPad,6,B,X00+,18959.956,-27539.608,49810.458,28534.252
425.793,RowPad,6,B,X00+,18959.956,-27539.608,49810.458,28534.252,RowPad,6,B,X00-,18959.956,-27539.608,49411.728,28384.874
84063.193,RowPad,6,B,X00-,18959.956,-27539.608,49411.728,28384.874,ColumnPad,0,B,R06+,18959.956,-27539.608,34870.458,-54411.091
469.574,RowPad,8,A,T00-,19670.022,39369.477,-43847.886,38021.731,RowPad,8,A,X00+,19670.022,39369.477,-44316.616,38049.865
425.792,RowPad,8,A,X00+,19670.022,39369.477,-44316.616,38049.865,RowPad,8,A,X00-,19670.022,39369.477,-43987.886,37779.244
