"pad info 1(Gtype,GIndex,GSection,Label)",pad info 2,pixel position
"['ColumnPad', 0, 'A', 'R04-']","['ColumnPad', 0, 'A', 'R04+']","[9070.022, 21009.739]"
"['ColumnPad', 0, 'A', 'R04+']","['ColumnPad', 0, 'A', 'L04-']","[9070.022, 21009.739]"
"['ColumnPad', 0, 'A', 'L04-']","['ColumnPad', 0, 'A', 'L04+']","[9070.022, 21009.739]"
"['ColumnPad', 0, 'A', 'R05-']","['ColumnPad', 0, 'A', 'R05+']","[11720.022, 25599.673]"
"['ColumnPad', 0, 'A', 'R05+']","['ColumnPad', 0, 'A', 'L05-']","[11720.022, 25599.673]"
"['ColumnPad', 0, 'A', 'L05-']","['ColumnPad', 0, 'A', 'L05+']","[11720.022, 25599.673]"
"['ColumnPad', 0, 'A', 'R06-']","['ColumnPad', 0, 'A', 'R06+']","[14370.022, 30189.608]"
"['ColumnPad', 0, 'A', 'R06+']","['ColumnPad', 0, 'A', 'L06-']","[14370.022, 30189.608]"
"['ColumnPad', 0, 'A', 'L06-']","['ColumnPad', 0, 'A', 'L06+']","[14370.022, 30189.608]"
"['ColumnPad', 0, 'A', 'R07-']","['ColumnPad', 0, 'A', 'R07+']","[17020.022, 34779.542]"
"['ColumnPad', 0, 'A', 'R07+']","['ColumnPad', 0, 'A', 'L07-']","[17020.022, 34779.542]"
"['ColumnPad', 0, 'A', 'L07-']","['ColumnPad', 0, 'A', 'L07+']","[17020.022, 34779.542]"
"['ColumnPad', 0, 'A', 'R08-']","['ColumnPad', 0, 'A', 'R08+']","[19670.022, 39369.477]"
"['ColumnPad', 0, 'A', 'R08+']","['ColumnPad', 0, 'A', 'L08-']","[19670.022, 39369.477]"
"['ColumnPad', 0, 'A', 'L08-']","['ColumnPad', 0, 'A', 'L08+']","[19670.022, 39369.477]"
"['ColumnPad', 0, 'A', 'R09-']","['ColumnPad', 0, 'A', 'R09+']","[22320.022, 43959.412]"
"['ColumnPad', 0, 'A', 'R09+']","['ColumnPad', 0, 'A', 'L09-']","[22320.022, 43959.412]"
"['ColumnPad', 0, 'A', 'L09-']","['ColumnPad', 0, 'A', 'L09+']","[22320.022, 43959.412]"
"['ColumnPad', 0, 'A', 'R10-']","['ColumnPad', 0, 'A', 'R10+']","[24970.022, 48549.346]"
"['ColumnPad', 0, 'A', 'R10+']","['ColumnPad', 0, 'A', 'L10-']","[24970.022, 48549.346]"
"['ColumnPad', 0, 'A', 'L10-']","['ColumnPad', 0, 'A', 'L10+']","[24970.022, 48549.346]"
"['ColumnPad', 0, 'A', 'R11-']","['ColumnPad', 0, 'A', 'R11+']","[27620.022, 53139.281]"
"['ColumnPad', 0, 'A', 'R11+']","['ColumnPad', 0, 'A', 'L11-']","[27620.022, 53139.281]"
"['ColumnPad', 0, 'A', 'L11-']","['ColumnPad', 0, 'A', 'L11+']","[27620.022, 53139.281]"
"['RowPad', 0, 'B', 'X00+']","['RowPad', 0, 'B', 'B00+']","[3059.956, 0.0]"
"['RowPad', 0, 'B', 'B00+']","['RowPad', 0, 'B', 'X00-']","[3059.956, 0.0]"
"['RowPad', 0, 'B', 'X00-']","['RowPad', 0, 'B', 'T00+']","[3059.956, 0.0]"
"['RowPad', 0, 'B', 'T00+']","['RowPad', 0, 'B', 'B00-']","[3059.956, 0.0]"
"['RowPad', 0, 'B', 'T01+']","['RowPad', 0, 'B', 'B01-']","[5709.956, 4589.935]"
"['RowPad', 0, 'B', 'T02+']","['RowPad', 0, 'B', 'B02-']","[8359.956, 9179.869]"
"['RowPad', 0, 'B', 'T03+']","['RowPad', 0, 'B', 'B03-']","[11009.956, 13769.804]"
"['RowPad', 0, 'B', 'T04+']","['RowPad', 0, 'B', 'B04-']","[13659.956, 18359.739]"
"['RowPad', 0, 'B', 'T05+']","['RowPad', 0, 'B', 'B05-']","[16309.956, 22949.673]"
"['RowPad', 0, 'B', 'T06+']","['RowPad', 0, 'B', 'B06-']","[18959.956, 27539.608]"
"['RowPad', 0, 'B', 'T07+']","['RowPad', 0, 'B', 'B07-']","[21609.956, 32129.542]"
"['RowPad', 0, 'B', 'T08+']","['RowPad', 0, 'B', 'B08-']","[24259.956, 36719.477]"
"['RowPad', 0, 'B', 'T09+']","['RowPad', 0, 'B', 'B09-']","[26909.956, 41309.412]"
"['RowPad', 0, 'B', 'T10+']","['RowPad', 0, 'B', 'B10-']","[29559.956, 45899.346]"
"['RowPad', 0, 'B', 'T11+']","['RowPad', 0, 'B', 'B11-']","[32209.956, 50489.281]"
"['RowPad', 0, 'B', 'B11-']","['RowPad', 0, 'B', 'T11-']","[32209.956, 50489.281]"
"['RowPad', 1, 'B', 'X00+']","['RowPad', 1, 'B', 'B00+']","[5709.956, -4589.935]"
"['RowPad', 1, 'B', 'B00+']","['RowPad', 1, 'B', 'X00-']","[5709.956, -4589.935]"
"['RowPad', 1, 'B', 'X00-']","['RowPad', 1, 'B', 'T00+']","[5709.956, -4589.935]"
"['RowPad', 1, 'B', 'T00+']","['RowPad', 1, 'B', 'B00-']","[5709.956, -4589.935]"
"['RowPad', 1, 'B', 'T01+']","['RowPad', 1, 'B', 'B01-']","[8359.956, 0.0]"
"['RowPad', 1, 'B', 'T02+']","['RowPad', 1, 'B', 'B02-']","[11009.956, 4589.935]"
"['RowPad', 1, 'B', 'T03+']","['RowPad', 1, 'B', 'B03-']","[13659.956, 9179.869]"
"['RowPad', 1, 'B', 'T04+']","['RowPad', 1, 'B', 'B04-']","[16309.956, 13769.804]"
"['RowPad', 1, 'B', 'T05+']","['RowPad', 1, 'B', 'B05-']","[18959.956, 18359.739]"
"['RowPad', 1, 'B', 'T06+']","['RowPad', 1, 'B', 'B06-']","[21609.956, 22949.673]"
"['RowPad', 1, 'B', 'T07+']","['RowPad', 1, 'B', 'B07-']","[24259.956, 27539.608]"
"['RowPad', 1, 'B', 'T08+']","['RowPad', 1, 'B', 'B08-']","[26909.956, 32129.542]"
"['RowPad', 1, 'B', 'T09+']","['RowPad', 1, 'B', 'B09-']","[29559.956, 36719.477]"
"['RowPad', 1, 'B', 'T10+']","['RowPad', 1, 'B', 'B10-']","[32209.956, 41309.412]"
"['RowPad', 1, 'B', 'T11+']","['RowPad', 1, 'B', 'B11-']","[34859.956, 45899.346]"
"['RowPad', 1, 'B', 'B11-']","['RowPad', 1, 'B', 'T11-']","[34859.956, 45899.346]"
"['RowPad', 2, 'B', 'X00+']","['RowPad', 2, 'B', 'B00+']","[8359.956, -9179.869]"
"['RowPad', 2, 'B', 'B00+']","['RowPad', 2, 'B', 'X00-']","[8359.956, -9179.869]"
"['RowPad', 2, 'B', 'X00-']","['RowPad', 2, 'B', 'T00+']","[8359.956, -9179.869]"
"['RowPad', 2, 'B', 'T00+']","['RowPad', 2, 'B', 'B00-']","[8359.956, -9179.869]"
"['RowPad', 2, 'B', 'T01+']","['RowPad', 2, 'B', 'B01-']","[11009.956, -4589.935]"
"['RowPad', 2, 'B', 'T02+']","['RowPad', 2, 'B', 'B02-']","[13659.956, 0.0]"
"['RowPad', 2, 'B', 'T03+']","['RowPad', 2, 'B', 'B03-']","[16309.956, 4589.935]"
"['RowPad', 2, 'B', 'T04+']","['RowPad', 2, 'B', 'B04-']","[18959.956, 9179.869]"
"['RowPad', 2, 'B', 'T05+']","['RowPad', 2, 'B', 'B05-']","[21609.956, 13769.804]"
"['RowPad', 2, 'B', 'T06+']","['RowPad', 2, 'B', 'B06-']","[24259.956, 18359.739]"
"['RowPad', 2, 'B', 'T07+']","['RowPad', 2, 'B', 'B07-']","[26909.956, 22949.673]"
"['RowPad', 2, 'B', 'T08+']","['RowPad', 2, 'B', 'B08-']","[29559.956, 27539.608]"
"['RowPad', 2, 'B', 'T09+']","['RowPad', 2, 'B', 'B09-']","[32209.956, 32129.542]"
"['RowPad', 2, 'B', 'T10+']","['RowPad', 2, 'B', 'B10-']","[34859.956, 36719.477]"
"['RowPad', 2, 'B', 'T11+']","['RowPad', 2, 'B', 'B11-']","[37509.956, 41309.412]"
"['RowPad', 2, 'B', 'B11-']","['RowPad', 2, 'B', 'T11-']","[37509.956, 41309.412]"
"['RowPad', 3, 'B', 'X00+']","['RowPad', 3, 'B', 'B00+']","[11009.956, -13769.804]"
"['RowPad', 3, 'B', 'B00+']","['RowPad', 3, 'B', 'X00-']","[11009.956, -13769.804]"
"['RowPad', 3, 'B', 'X00-']","['RowPad', 3, 'B', 'T00+']","[11009.956, -13769.804]"
"['RowPad', 3, 'B', 'T00+']","['RowPad', 3, 'B', 'B00-']","[11009.956, -13769.804]"
"['RowPad', 3, 'B', 'T01+']","['RowPad', 3, 'B', 'B01-']","[13659.956, -9179.869]"
"['RowPad', 3, 'B', 'T02+']","['RowPad', 3, 'B', 'B02-']","[16309.956, -4589.935]"
"['RowPad', 3, 'B', 'T03+']","['RowPad', 3, 'B', 'B03-']","[18959.956, 0.0]"
"['RowPad', 3, 'B', 'T04+']","['RowPad', 3, 'B', 'B04-']","[21609.956, 4589.935]"
"['RowPad', 3, 'B', 'T05+']","['RowPad', 3, 'B', 'B05-']","[24259.956, 9179.869]"
"['RowPad', 3, 'B', 'T06+']","['RowPad', 3, 'B', 'B06-']","[26909.956, 13769.804]"
"['RowPad', 3, 'B', 'T07+']","['RowPad', 3, 'B', 'B07-']","[29559.956, 18359.739]"
"['RowPad', 3, 'B', 'T08+']","['RowPad', 3, 'B', 'B08-']","[32209.956, 22949.673]"
"['RowPad', 3, 'B', 'T09+']","['RowPad', 3, 'B', 'B09-']","[34859.956, 27539.608]"
"['RowPad', 3, 'B', 'T10+']","['RowPad', 3, 'B', 'B10-']","[37509.956, 32129.542]"
"['RowPad', 3, 'B', 'T11+']","['RowPad', 3, 'B', 'B11-']","[40159.956, 36719.477]"
"['RowPad', 3, 'B', 'B11-']","['RowPad', 3, 'B', 'T11-']","[40159.956, 36719.477]"
"['RowPad', 4, 'B', 'X00+']","['RowPad', 4, 'B', 'B00+']","[13659.956, -18359.739]"
"['RowPad', 4, 'B', 'B00+']","['RowPad', 4, 'B', 'X00-']","[13659.956, -18359.739]"
"['RowPad', 4, 'B', 'X00-']","['RowPad', 4, 'B', 'T00+']","[13659.956, -18359.739]"
"['RowPad', 4, 'B', 'T00+']","['RowPad', 4, 'B', 'B00-']","[13659.956, -18359.739]"
"['RowPad', 4, 'B', 'T01+']","['RowPad', 4, 'B', 'B01-']","[16309.956, -13769.804]"
"['RowPad', 4, 'B', 'T02+']","['RowPad', 4, 'B', 'B02-']","[18959.956, -9179.869]"
"['RowPad', 4, 'B', 'T03+']","['RowPad', 4, 'B', 'B03-']","[21609.956, -4589.935]"
"['RowPad', 4, 'B', 'T04+']","['RowPad', 4, 'B', 'B04-']","[24259.956, 0.0]"
"['RowPad', 4, 'B', 'T05+']","['RowPad', 4, 'B', 'B05-']","[26909.956, 4589.935]"
"['RowPad', 4, 'B', 'T06+']","['RowPad', 4, 'B', 'B06-']","[29559.956, 9179.869]"
"['RowPad', 4, 'B', 'T07+']","['RowPad', 4, 'B', 'B07-']","[32209.956, 13769.804]"
"['RowPad', 4, 'B', 'T08+']","['RowPad', 4, 'B', 'B08-']","[34859.956, 18359.739]"
"['RowPad', 4, 'B', 'T09+']","['RowPad', 4, 'B', 'B09-']","[37509.956, 22949.673]"
"['RowPad', 4, 'B', 'T10+']","['RowPad', 4, 'B', 'B10-']","[40159.956, 27539.608]"
"['RowPad', 4, 'B', 'T11+']","['RowPad', 4, 'B', 'B11-']","[42809.956, 32129.542]"
"['RowPad', 4, 'B', 'B11-']","['RowPad', 4, 'B', 'T11-']","[42809.956, 32129.542]"
"['RowPad', 5, 'B', 'X00+']","['RowPad', 5, 'B', 'B00+']","[16309.956, -22949.673]"
"['RowPad', 5, 'B', 'B00+']","['RowPad', 5, 'B', 'X00-']","[16309.956, -22949.673]"
"['RowPad', 5, 'B', 'X00-']","['RowPad', 5, 'B', 'T00+']","[16309.956, -22949.673]"
"['RowPad', 5, 'B', 'T00+']","['RowPad', 5, 'B', 'B00-']","[16309.956, -22949.673]"
"['RowPad', 5, 'B', 'T01+']","['RowPad', 5, 'B', 'B01-']","[18959.956, -18359.739]"
"['RowPad', 5, 'B', 'T02+']","['RowPad', 5, 'B', 'B02-']","[21609.956, -13769.804]"
"['RowPad', 5, 'B', 'T03+']","['RowPad', 5, 'B', 'B03-']","[24259.956, -9179.869]"
"['RowPad', 5, 'B', 'T04+']","['RowPad', 5, 'B', 'B04-']","[26909.956, -4589.935]"
"['RowPad', 5, 'B', 'T05+']","['RowPad', 5, 'B', 'B05-']","[29559.956, 0.0]"
"['RowPad', 5, 'B', 'T06+']","['RowPad', 5, 'B', 'B06-']","[32209.956, 4589.935]"
"['RowPad', 5, 'B', 'T07+']","['RowPad', 5, 'B', 'B07-']","[34859.956, 9179.869]"
"['RowPad', 5, 'B', 'T08+']","['RowPad', 5, 'B', 'B08-']","[37509.956, 13769.804]"
"['RowPad', 5, 'B', 'T09+']","['RowPad', 5, 'B', 'B09-']","[40159.956, 18359.739]"
"['RowPad', 5, 'B', 'T10+']","['RowPad', 5, 'B', 'B10-']","[42809.956, 22949.673]"
"['RowPad', 5, 'B', 'T11+']","['RowPad', 5, 'B', 'B11-']","[45459.956, 27539.608]"
"['RowPad', 5, 'B', 'B11-']","['RowPad', 5, 'B', 'T11-']","[45459.956, 27539.608]"
"['RowPad', 6, 'B', 'X00+']","['RowPad', 6, 'B', 'B00+']","[18959.956, -27539.608]"
"['RowPad', 6, 'B', 'B00+']","['RowPad', 6, 'B', 'X00-']","[18959.956, -27539.608]"
"['RowPad', 6, 'B', 'X00-']","['RowPad', 6, 'B', 'T00+']","[18959.956, -27539.608]"
"['RowPad', 6, 'B', 'T00+']","['RowPad', 6, 'B', 'B00-']","[18959.956, -27539.608]"
"['RowPad', 6, 'B', 'T01+']","['RowPad', 6, 'B', 'B01-']","[21609.956, -22949.673]"
"['RowPad', 6, 'B', 'T02+']","['RowPad', 6, 'B', 'B02-']","[24259.956, -18359.739]"
"['RowPad', 6, 'B', 'T03+']","['RowPad', 6, 'B', 'B03-']","[26909.956, -13769.804]"
"['RowPad', 6, 'B', 'T04+']","['RowPad', 6, 'B', 'B04-']","[29559.956, -9179.869]"
"['RowPad', 6, 'B', 'T05+']","['RowPad', 6, 'B', 'B05-']","[32209.956, -4589.935]"
"['RowPad', 6, 'B', 'T06+']","['RowPad', 6, 'B', 'B06-']","[34859.956, 0.0]"
"['RowPad', 6, 'B', 'T07+']","['RowPad', 6, 'B', 'B07-']","[37509.956, 4589.935]"
"['RowPad', 6, 'B', 'T08+']","['RowPad', 6, 'B', 'B08-']","[40159.956, 9179.869]"
"['RowPad', 6, 'B', 'T09+']","['RowPad', 6, 'B', 'B09-']","[42809.956, 13769.804]"
"['RowPad', 6, 'B', 'T10+']","['RowPad', 6, 'B', 'B10-']","[45459.956, 18359.739]"
"['RowPad', 6, 'B', 'T11+']","['RowPad', 6, 'B', 'B11-']","[48109.956, 22949.673]"
"['RowPad', 6, 'B', 'B11-']","['RowPad', 6, 'B', 'T11-']","[48109.956, 22949.673]"
"['RowPad', 7, 'B', 'X00+']","['RowPad', 7, 'B', 'B00+']","[21609.956, -32129.542]"
"['RowPad', 7, 'B', 'B00+']","['RowPad', 7, 'B', 'X00-']","[21609.956, -32129.542]"
"['RowPad', 7, 'B', 'X00-']","['RowPad', 7, 'B', 'T00+']","[21609.956, -32129.542]"
"['RowPad', 7, 'B', 'T00+']","['RowPad', 7, 'B', 'B00-']","[21609.956, -32129.542]"
"['RowPad', 7, 'B', 'T01+']","['RowPad', 7, 'B', 'B01-']","[24259.956, -27539.608]"
"['RowPad', 7, 'B', 'T02+']","['RowPad', 7, 'B', 'B02-']","[26909.956, -22949.673]"
"['RowPad', 7, 'B', 'T03+']","['RowPad', 7, 'B', 'B03-']","[29559.956, -18359.739]"
"['RowPad', 7, 'B', 'T04+']","['RowPad', 7, 'B', 'B04-']","[32209.956, -13769.804]"
"['RowPad', 7, 'B', 'T05+']","['RowPad', 7, 'B', 'B05-']","[34859.956, -9179.869]"
"['RowPad', 7, 'B', 'T06+']","['RowPad', 7, 'B', 'B06-']","[37509.956, -4589.935]"
"['RowPad', 7, 'B', 'T07+']","['RowPad', 7, 'B', 'B07-']","[40159.956, 0.0]"
"['RowPad', 7, 'B', 'T08+']","['RowPad', 7, 'B', 'B08-']","[42809.956, 4589.935]"
"['RowPad', 7, 'B', 'T09+']","['RowPad', 7, 'B', 'B09-']","[45459.956, 9179.869]"
"['RowPad', 7, 'B', 'T10+']","['RowPad', 7, 'B', 'B10-']","[48109.956, 13769.804]"
"['RowPad', 7, 'B', 'T11+']","['RowPad', 7, 'B', 'B11-']","[50759.956, 18359.739]"
"['RowPad', 7, 'B', 'B11-']","['RowPad', 7, 'B', 'T11-']","[50759.956, 18359.739]"
"['RowPad', 8, 'B', 'X00+']","['RowPad', 8, 'B', 'B00+']","[24259.956, -36719.477]"
"['RowPad', 8, 'B', 'B00+']","['RowPad', 8, 'B', 'X00-']","[24259.956, -36719.477]"
"['RowPad', 8, 'B', 'X00-']","['RowPad', 8, 'B', 'T00+']","[24259.956, -36719.477]"
"['RowPad', 8, 'B', 'T00+']","['RowPad', 8, 'B', 'B00-']","[24259.956, -36719.477]"
"['RowPad', 8, 'B', 'T01+']","['RowPad', 8, 'B', 'B01-']","[26909.956, -32129.542]"
"['RowPad', 8, 'B', 'T02+']","['RowPad', 8, 'B', 'B02-']","[29559.956, -27539.608]"
"['RowPad', 8, 'B', 'T03+']","['RowPad', 8, 'B', 'B03-']","[32209.956, -22949.673]"
"['RowPad', 8, 'B', 'T04+']","['RowPad', 8, 'B', 'B04-']","[34859.956, -18359.739]"
"['RowPad', 8, 'B', 'T05+']","['RowPad', 8, 'B', 'B05-']","[37509.956, -13769.804]"
"['RowPad', 8, 'B', 'T06+']","['RowPad', 8, 'B', 'B06-']","[40159.956, -9179.869]"
"['RowPad', 8, 'B', 'T07+']","['RowPad', 8, 'B', 'B07-']","[42809.956, -4589.935]"
"['RowPad', 8, 'B', 'T08+']","['RowPad', 8, 'B', 'B08-']","[45459.956, 0.0]"
"['RowPad', 8, 'B', 'T09+']","['RowPad', 8, 'B', 'B09-']","[48109.956, 4589.935]"
"['RowPad', 8, 'B', 'T10+']","['RowPad', 8, 'B', 'B10-']","[50759.956, 9179.869]"
"['RowPad', 8, 'B', 'T11+']","['RowPad', 8, 'B', 'B11-']","[53409.956, 13769.804]"
"['RowPad', 8, 'B', 'B11-']","['RowPad', 8, 'B', 'T11-']","[53409.956, 13769.804]"
"['RowPad', 9, 'B', 'X00+']","['RowPad', 9, 'B', 'B00+']","[26909.956, -41309.412]"
"['RowPad', 9, 'B', 'B00+']","['RowPad', 9, 'B', 'X00-']","[26909.956, -41309.412]"
"['RowPad', 9, 'B', 'X00-']","['RowPad', 9, 'B', 'T00+']","[26909.956, -41309.412]"
"['RowPad', 9, 'B', 'T00+']","['RowPad', 9, 'B', 'B00-']","[26909.956, -41309.412]"
"['RowPad', 9, 'B', 'T01+']","['RowPad', 9, 'B', 'B01-']","[29559.956, -36719.477]"
"['RowPad', 9, 'B', 'T02+']","['RowPad', 9, 'B', 'B02-']","[32209.956, -32129.542]"
"['RowPad', 9, 'B', 'T03+']","['RowPad', 9, 'B', 'B03-']","[34859.956, -27539.608]"
"['RowPad', 9, 'B', 'T04+']","['RowPad', 9, 'B', 'B04-']","[37509.956, -22949.673]"
"['RowPad', 9, 'B', 'T05+']","['RowPad', 9, 'B', 'B05-']","[40159.956, -18359.739]"
"['RowPad', 9, 'B', 'T06+']","['RowPad', 9, 'B', 'B06-']","[42809.956, -13769.804]"
"['RowPad', 9, 'B', 'T07+']","['RowPad', 9, 'B', 'B07-']","[45459.956, -9179.869]"
"['RowPad', 9, 'B', 'T08+']","['RowPad', 9, 'B', 'B08-']","[48109.956, -4589.935]"
"['RowPad', 9, 'B', 'T09+']","['RowPad', 9, 'B', 'B09-']","[50759.956, 0.0]"
"['RowPad', 9, 'B', 'T10+']","['RowPad', 9, 'B', 'B10-']","[53409.956, 4589.935]"
"['RowPad', 9, 'B', 'T11+']","['RowPad', 9, 'B', 'B11-']","[56059.956, 9179.869]"
"['RowPad', 9, 'B', 'B11-']","['RowPad', 9, 'B', 'T11-']","[56059.956, 9179.869]"
"['RowPad', 10, 'B', 'X00+']","['RowPad', 10, 'B', 'B00+']","[29559.956, -45899.346]"
"['RowPad', 10, 'B', 'B00+']","['RowPad', 10, 'B', 'X00-']","[29559.956, -45899.346]"
"['RowPad', 10, 'B', 'X00-']","['RowPad', 10, 'B', 'T00+']","[29559.956, -45899.346]"
"['RowPad', 10, 'B', 'T00+']","['RowPad', 10, 'B', 'B00-']","[29559.956, -45899.346]"
"['RowPad', 10, 'B', 'T01+']","['RowPad', 10, 'B', 'B01-']","[32209.956, -41309.412]"
"['RowPad', 10, 'B', 'T02+']","['RowPad', 10, 'B', 'B02-']","[34859.956, -36719.477]"
"['RowPad', 10, 'B', 'T03+']","['RowPad', 10, 'B', 'B03-']","[37509.956, -32129.542]"
"['RowPad', 10, 'B', 'T04+']","['RowPad', 10, 'B', 'B04-']","[40159.956, -27539.608]"
"['RowPad', 10, 'B', 'T05+']","['RowPad', 10, 'B', 'B05-']","[42809.956, -22949.673]"
"['RowPad', 10, 'B', 'T06+']","['RowPad', 10, 'B', 'B06-']","[45459.956, -18359.739]"
"['RowPad', 10, 'B', 'T07+']","['RowPad', 10, 'B', 'B07-']","[48109.956, -13769.804]"
"['RowPad', 10, 'B', 'T08+']","['RowPad', 10, 'B', 'B08-']","[50759.956, -9179.869]"
"['RowPad', 10, 'B', 'T09+']","['RowPad', 10, 'B', 'B09-']","[53409.956, -4589.935]"
"['RowPad', 10, 'B', 'T10+']","['RowPad', 10, 'B', 'B10-']","[56059.956, 0.0]"
"['RowPad', 10, 'B', 'T11+']","['RowPad', 10, 'B', 'B11-']","[58709.956, 4589.935]"
"['RowPad', 10, 'B', 'B11-']","['RowPad', 10, 'B', 'T11-']","[58709.956, 4589.935]"
"['RowPad', 11, 'B', 'X00+']","['RowPad', 11, 'B', 'B00+']","[32209.956, -50489.281]"
"['RowPad', 11, 'B', 'B00+']","['RowPad', 11, 'B', 'X00-']","[32209.956, -50489.281]"
"['RowPad', 11, 'B', 'X00-']","['RowPad', 11, 'B', 'T00+']","[32209.956, -50489.281]"
"['RowPad', 11, 'B', 'T00+']","['RowPad', 11, 'B', 'B00-']","[32209.956, -50489.281]"
"['RowPad', 11, 'B', 'T01+']","['RowPad', 11, 'B', 'B01-']","[34859.956, -45899.346]"
"['RowPad', 11, 'B', 'T02+']","['RowPad', 11, 'B', 'B02-']","[37509.956, -41309.412]"
"['RowPad', 11, 'B', 'T03+']","['RowPad', 11, 'B', 'B03-']","[40159.956, -36719.477]"
"['RowPad', 11, 'B', 'T04+']","['RowPad', 11, 'B', 'B04-']","[42809.956, -32129.542]"
"['RowPad', 11, 'B', 'T05+']","['RowPad', 11, 'B', 'B05-']","[45459.956, -27539.608]"
"['RowPad', 11, 'B', 'T06+']","['RowPad', 11, 'B', 'B06-']","[48109.956, -22949.673]"
"['RowPad', 11, 'B', 'T07+']","['RowPad', 11, 'B', 'B07-']","[50759.956, -18359.739]"
"['RowPad', 11, 'B', 'T08+']","['RowPad', 11, 'B', 'B08-']","[53409.956, -13769.804]"
"['RowPad', 11, 'B', 'T09+']","['RowPad', 11, 'B', 'B09-']","[56059.956, -9179.869]"
"['RowPad', 11, 'B', 'T10+']","['RowPad', 11, 'B', 'B10-']","[58709.956, -4589.935]"
"['RowPad', 11, 'B', 'T11+']","['RowPad', 11, 'B', 'B11-']","[61359.956, 0.0]"
"['RowPad', 11, 'B', 'B11-']","['RowPad', 11, 'B', 'T11-']","[61359.956, 0.0]"
"['ColumnPad', 11, 'B', 'R00-']","['ColumnPad', 11, 'B', 'L00-']","[32209.956, 50489.281]"
"['ColumnPad', 11, 'B', 'R11+']","['ColumnPad', 11, 'B', 'L11+']","[61359.956, 0.0]"
"['ColumnPad', 10, 'B', 'R00-']","['ColumnPad', 10, 'B', 'L00-']","[29559.956, 45899.346]"
"['ColumnPad', 10, 'B', 'R11+']","['ColumnPad', 10, 'B', 'L11+']","[58709.956, -4589.935]"
"['ColumnPad', 9, 'B', 'R00-']","['ColumnPad', 9, 'B', 'L00-']","[26909.956, 41309.412]"
"['ColumnPad', 9, 'B', 'R11+']","['ColumnPad', 9, 'B', 'L11+']","[56059.956, -9179.869]"
"['ColumnPad', 8, 'B', 'R00-']","['ColumnPad', 8, 'B', 'L00-']","[24259.956, 36719.477]"
"['ColumnPad', 8, 'B', 'R11+']","['ColumnPad', 8, 'B', 'L11+']","[53409.956, -13769.804]"
"['ColumnPad', 7, 'B', 'R00-']","['ColumnPad', 7, 'B', 'L00-']","[21609.956, 32129.542]"
"['ColumnPad', 7, 'B', 'R11+']","['ColumnPad', 7, 'B', 'L11+']","[50759.956, -18359.739]"
"['ColumnPad', 6, 'B', 'R00-']","['ColumnPad', 6, 'B', 'L00-']","[18959.956, 27539.608]"
"['ColumnPad', 6, 'B', 'R11+']","['ColumnPad', 6, 'B', 'L11+']","[48109.956, -22949.673]"
"['ColumnPad', 5, 'B', 'R00-']","['ColumnPad', 5, 'B', 'L00-']","[16309.956, 22949.673]"
"['ColumnPad', 5, 'B', 'R11+']","['ColumnPad', 5, 'B', 'L11+']","[45459.956, -27539.608]"
"['ColumnPad', 4, 'B', 'R00-']","['ColumnPad', 4, 'B', 'L00-']","[13659.956, 18359.739]"
"['ColumnPad', 4, 'B', 'R11+']","['ColumnPad', 4, 'B', 'L11+']","[42809.956, -32129.542]"
"['ColumnPad', 3, 'B', 'R00-']","['ColumnPad', 3, 'B', 'L00-']","[11009.956, 13769.804]"
"['ColumnPad', 3, 'B', 'R11+']","['ColumnPad', 3, 'B', 'L11+']","[40159.956, -36719.477]"
"['ColumnPad', 2, 'B', 'R00-']","['ColumnPad', 2, 'B', 'L00-']","[8359.956, 9179.869]"
"['ColumnPad', 2, 'B', 'R11+']","['ColumnPad', 2, 'B', 'L11+']","[37509.956, -41309.412]"
"['ColumnPad', 1, 'B', 'R00-']","['ColumnPad', 1, 'B', 'L00-']","[5709.956, 4589.935]"
"['ColumnPad', 1, 'B', 'R11+']","['ColumnPad', 1, 'B', 'L11+']","[34859.956, -45899.346]"
"['ColumnPad', 0, 'B', 'R00-']","['ColumnPad', 0, 'B', 'L00-']","[3059.956, 0.0]"
"['ColumnPad', 0, 'B', 'R11+']","['ColumnPad', 0, 'B', 'L11+']","[32209.956, -50489.281]"
"['RowPad', 0, 'C', 'X00-']","['RowPad', 0, 'C', 'X00+']","[-1529.978, -2650.0]"
"['RowPad', 0, 'C', 'X00+']","['RowPad', 0, 'C', 'B00-']","[-1529.978, -2650.0]"
"['RowPad', 0, 'C', 'B00-']","['RowPad', 0, 'C', 'B00+']","[-1529.978, -2650.0]"
"['RowPad', 0, 'C', 'B00+']","['RowPad', 0, 'C', 'T00-']","[-1529.978, -2650.0]"
"['RowPad', 0, 'C', 'T00-']","['RowPad', 0, 'C', 'T00+']","[-1529.978, -2650.0]"
"['RowPad', 0, 'C', 'B01-']","['RowPad', 0, 'C', 'B01+']","[1120.022, -7239.935]"
"['RowPad', 0, 'C', 'B01+']","['RowPad', 0, 'C', 'T01-']","[1120.022, -7239.935]"
"['RowPad', 0, 'C', 'T01-']","['RowPad', 0, 'C', 'T01+']","[1120.022, -7239.935]"
"['RowPad', 0, 'C', 'B02-']","['RowPad', 0, 'C', 'B02+']","[3770.022, -11829.869]"
"['RowPad', 0, 'C', 'B02+']","['RowPad', 0, 'C', 'T02-']","[3770.022, -11829.869]"
