"pad info 1(Gtype,GIndex,GSection,Label)",pad info 2,pixel position
"['ColumnPad', 11, 'A', 'L08-']","['ColumnPad', 11, 'A', 'L08+']","[-38629.978, 39369.477]"
"['ColumnPad', 11, 'A', 'R09-']","['ColumnPad', 11, 'A', 'R09+']","[-35979.978, 43959.412]"
"['ColumnPad', 11, 'A', 'R09+']","['ColumnPad', 11, 'A', 'L09-']","[-35979.978, 43959.412]"
"['ColumnPad', 11, 'A', 'L09-']","['ColumnPad', 11, 'A', 'L09+']","[-35979.978, 43959.412]"
"['ColumnPad', 11, 'A', 'R10-']","['ColumnPad', 11, 'A', 'R10+']","[-33329.978, 48549.346]"
"['ColumnPad', 11, 'A', 'R10+']","['ColumnPad', 11, 'A', 'L10-']","[-33329.978, 48549.346]"
"['ColumnPad', 11, 'A', 'L10-']","['ColumnPad', 11, 'A', 'L10+']","[-33329.978, 48549.346]"
"['ColumnPad', 11, 'A', 'R11-']","['ColumnPad', 11, 'A', 'R11+']","[-30679.978, 53139.281]"
"['ColumnPad', 11, 'A', 'R11+']","['ColumnPad', 11, 'A', 'L11-']","[-30679.978, 53139.281]"
"['ColumnPad', 11, 'A', 'L11-']","['ColumnPad', 11, 'A', 'L11+']","[-30679.978, 53139.281]"
"['ColumnPad', 10, 'A', 'R00-']","['ColumnPad', 10, 'A', 'R00+']","[-54529.978, 2650.0]"
"['ColumnPad', 10, 'A', 'R00+']","['ColumnPad', 10, 'A', 'L00-']","[-54529.978, 2650.0]"
"['ColumnPad', 10, 'A', 'L00-']","['ColumnPad', 10, 'A', 'L00+']","[-54529.978, 2650.0]"
"['ColumnPad', 10, 'A', 'R01-']","['ColumnPad', 10, 'A', 'R01+']","[-51879.978, 7239.935]"
"['ColumnPad', 10, 'A', 'R01+']","['ColumnPad', 10, 'A', 'L01-']","[-51879.978, 7239.935]"
"['ColumnPad', 10, 'A', 'L01-']","['ColumnPad', 10, 'A', 'L01+']","[-51879.978, 7239.935]"
"['ColumnPad', 10, 'A', 'R02-']","['ColumnPad', 10, 'A', 'R02+']","[-49229.978, 11829.869]"
"['ColumnPad', 10, 'A', 'R02+']","['ColumnPad', 10, 'A', 'L02-']","[-49229.978, 11829.869]"
"['ColumnPad', 10, 'A', 'L02-']","['ColumnPad', 10, 'A', 'L02+']","[-49229.978, 11829.869]"
"['ColumnPad', 10, 'A', 'R03-']","['ColumnPad', 10, 'A', 'R03+']","[-46579.978, 16419.804]"
"['ColumnPad', 10, 'A', 'R03+']","['ColumnPad', 10, 'A', 'L03-']","[-46579.978, 16419.804]"
"['ColumnPad', 10, 'A', 'L03-']","['ColumnPad', 10, 'A', 'L03+']","[-46579.978, 16419.804]"
"['ColumnPad', 10, 'A', 'R04-']","['ColumnPad', 10, 'A', 'R04+']","[-43929.978, 21009.739]"
"['ColumnPad', 10, 'A', 'R04+']","['ColumnPad', 10, 'A', 'L04-']","[-43929.978, 21009.739]"
"['ColumnPad', 10, 'A', 'L04-']","['ColumnPad', 10, 'A', 'L04+']","[-43929.978, 21009.739]"
"['ColumnPad', 10, 'A', 'R05-']","['ColumnPad', 10, 'A', 'R05+']","[-41279.978, 25599.673]"
"['ColumnPad', 10, 'A', 'R05+']","['ColumnPad', 10, 'A', 'L05-']","[-41279.978, 25599.673]"
"['ColumnPad', 10, 'A', 'L05-']","['ColumnPad', 10, 'A', 'L05+']","[-41279.978, 25599.673]"
"['ColumnPad', 10, 'A', 'R06-']","['ColumnPad', 10, 'A', 'R06+']","[-38629.978, 30189.608]"
"['ColumnPad', 10, 'A', 'R06+']","['ColumnPad', 10, 'A', 'L06-']","[-38629.978, 30189.608]"
"['ColumnPad', 10, 'A', 'L06-']","['ColumnPad', 10, 'A', 'L06+']","[-38629.978, 30189.608]"
"['ColumnPad', 10, 'A', 'R07-']","['ColumnPad', 10, 'A', 'R07+']","[-35979.978, 34779.542]"
"['ColumnPad', 10, 'A', 'R07+']","['ColumnPad', 10, 'A', 'L07-']","[-35979.978, 34779.542]"
"['ColumnPad', 10, 'A', 'L07-']","['ColumnPad', 10, 'A', 'L07+']","[-35979.978, 34779.542]"
"['ColumnPad', 10, 'A', 'R08-']","['ColumnPad', 10, 'A', 'R08+']","[-33329.978, 39369.477]"
"['ColumnPad', 10, 'A', 'R08+']","['ColumnPad', 10, 'A', 'L08-']","[-33329.978, 39369.477]"
"['ColumnPad', 10, 'A', 'L08-']","['ColumnPad', 10, 'A', 'L08+']","[-33329.978, 39369.477]"
"['ColumnPad', 10, 'A', 'R09-']","['ColumnPad', 10, 'A', 'R09+']","[-30679.978, 43959.412]"
"['ColumnPad', 10, 'A', 'R09+']","['ColumnPad', 10, 'A', 'L09-']","[-30679.978, 43959.412]"
"['ColumnPad', 10, 'A', 'L09-']","['ColumnPad', 10, 'A', 'L09+']","[-30679.978, 43959.412]"
"['ColumnPad', 10, 'A', 'R10-']","['ColumnPad', 10, 'A', 'R10+']","[-28029.978, 48549.346]"
"['ColumnPad', 10, 'A', 'R10+']","['ColumnPad', 10, 'A', 'L10-']","[-28029.978, 48549.346]"
"['ColumnPad', 10, 'A', 'L10-']","['ColumnPad', 10, 'A', 'L10+']","[-28029.978, 48549.346]"
"['ColumnPad', 10, 'A', 'R11-']","['ColumnPad', 10, 'A', 'R11+']","[-25379.978, 53139.281]"
"['ColumnPad', 10, 'A', 'R11+']","['ColumnPad', 10, 'A', 'L11-']","[-25379.978, 53139.281]"
"['ColumnPad', 10, 'A', 'L11-']","['ColumnPad', 10, 'A', 'L11+']","[-25379.978, 53139.281]"
"['ColumnPad', 9, 'A', 'R00-']","['ColumnPad', 9, 'A', 'R00+']","[-49229.978, 2650.0]"
"['ColumnPad', 9, 'A', 'R00+']","['ColumnPad', 9, 'A', 'L00-']","[-49229.978, 2650.0]"
"['ColumnPad', 9, 'A', 'L00-']","['ColumnPad', 9, 'A', 'L00+']","[-49229.978, 2650.0]"
"['ColumnPad', 9, 'A', 'R01-']","['ColumnPad', 9, 'A', 'R01+']","[-46579.978, 7239.935]"
"['ColumnPad', 9, 'A', 'R01+']","['ColumnPad', 9, 'A', 'L01-']","[-46579.978, 7239.935]"
"['ColumnPad', 9, 'A', 'L01-']","['ColumnPad', 9, 'A', 'L01+']","[-46579.978, 7239.935]"
"['ColumnPad', 9, 'A', 'R02-']","['ColumnPad', 9, 'A', 'R02+']","[-43929.978, 11829.869]"
"['ColumnPad', 9, 'A', 'R02+']","['ColumnPad', 9, 'A', 'L02-']","[-43929.978, 11829.869]"
"['ColumnPad', 9, 'A', 'L02-']","['ColumnPad', 9, 'A', 'L02+']","[-43929.978, 11829.869]"
"['ColumnPad', 9, 'A', 'R03-']","['ColumnPad', 9, 'A', 'R03+']","[-41279.978, 16419.804]"
"['ColumnPad', 9, 'A', 'R03+']","['ColumnPad', 9, 'A', 'L03-']","[-41279.978, 16419.804]"
"['ColumnPad', 9, 'A', 'L03-']","['ColumnPad', 9, 'A', 'L03+']","[-41279.978, 16419.804]"
"['ColumnPad', 9, 'A', 'R04-']","['ColumnPad', 9, 'A', 'R04+']","[-38629.978, 21009.739]"
"['ColumnPad', 9, 'A', 'R04+']","['ColumnPad', 9, 'A', 'L04-']","[-38629.978, 21009.739]"
"['ColumnPad', 9, 'A', 'L04-']","['ColumnPad', 9, 'A', 'L04+']","[-38629.978, 21009.739]"
"['ColumnPad', 9, 'A', 'R05-']","['ColumnPad', 9, 'A', 'R05+']","[-35979.978, 25599.673]"
"['ColumnPad', 9, 'A', 'R05+']","['ColumnPad', 9, 'A', 'L05-']","[-35979.978, 25599.673]"
"['ColumnPad', 9, 'A', 'L05-']","['ColumnPad', 9, 'A', 'L05+']","[-35979.978, 25599.673]"
"['ColumnPad', 9, 'A', 'R06-']","['ColumnPad', 9, 'A', 'R06+']","[-33329.978, 30189.608]"
"['ColumnPad', 9, 'A', 'R06+']","['ColumnPad', 9, 'A', 'L06-']","[-33329.978, 30189.608]"
"['ColumnPad', 9, 'A', 'L06-']","['ColumnPad', 9, 'A', 'L06+']","[-33329.978, 30189.608]"
"['ColumnPad', 9, 'A', 'R07-']","['ColumnPad', 9, 'A', 'R07+']","[-30679.978, 34779.542]"
"['ColumnPad', 9, 'A', 'R07+']","['ColumnPad', 9, 'A', 'L07-']","[-30679.978, 34779.542]"
"['ColumnPad', 9, 'A', 'L07-']","['ColumnPad', 9, 'A', 'L07+']","[-30679.978, 34779.542]"
"['ColumnPad', 9, 'A', 'R08-']","['ColumnPad', 9, 'A', 'R08+']","[-28029.978, 39369.477]"
"['ColumnPad', 9, 'A', 'R08+']","['ColumnPad', 9, 'A', 'L08-']","[-28029.978, 39369.477]"
"['ColumnPad', 9, 'A', 'L08-']","['ColumnPad', 9, 'A', 'L08+']","[-28029.978, 39369.477]"
"['ColumnPad', 9, 'A', 'R09-']","['ColumnPad', 9, 'A', 'R09+']","[-25379.978, 43959.412]"
"['ColumnPad', 9, 'A', 'R09+']","['ColumnPad', 9, 'A', 'L09-']","[-25379.978, 43959.412]"
"['ColumnPad', 9, 'A', 'L09-']","['ColumnPad', 9, 'A', 'L09+']","[-25379.978, 43959.412]"
"['ColumnPad', 9, 'A', 'R10-']","['ColumnPad', 9, 'A', 'R10+']","[-22729.978, 48549.346]"
"['ColumnPad', 9, 'A', 'R10+']","['ColumnPad', 9, 'A', 'L10-']","[-22729.978, 48549.346]"
"['ColumnPad', 9, 'A', 'L10-']","['ColumnPad', 9, 'A', 'L10+']","[-22729.978, 48549.346]"
"['ColumnPad', 9, 'A', 'R11-']","['ColumnPad', 9, 'A', 'R11+']","[-20079.978, 53139.281]"
"['ColumnPad', 9, 'A', 'R11+']","['ColumnPad', 9, 'A', 'L11-']","[-20079.978, 53139.281]"
"['ColumnPad', 9, 'A', 'L11-']","['ColumnPad', 9, 'A', 'L11+']","[-20079.978, 53139.281]"
"['ColumnPad', 8, 'A', 'R00-']","['ColumnPad', 8, 'A', 'R00+']","[-43929.978, 2650.0]"
"['ColumnPad', 8, 'A', 'R00+']","['ColumnPad', 8, 'A', 'L00-']","[-43929.978, 2650.0]"
"['ColumnPad', 8, 'A', 'L00-']","['ColumnPad', 8, 'A', 'L00+']","[-43929.978, 2650.0]"
"['ColumnPad', 8, 'A', 'R01-']","['ColumnPad', 8, 'A', 'R01+']","[-41279.978, 7239.935]"
"['ColumnPad', 8, 'A', 'R01+']","['ColumnPad', 8, 'A', 'L01-']","[-41279.978, 7239.935]"
"['ColumnPad', 8, 'A', 'L01-']","['ColumnPad', 8, 'A', 'L01+']","[-41279.978, 7239.935]"
"['ColumnPad', 8, 'A', 'R02-']","['ColumnPad', 8, 'A', 'R02+']","[-38629.978, 11829.869]"
"['ColumnPad', 8, 'A', 'R02+']","['ColumnPad', 8, 'A', 'L02-']","[-38629.978, 11829.869]"
"['ColumnPad', 8, 'A', 'L02-']","['ColumnPad', 8, 'A', 'L02+']","[-38629.978, 11829.869]"
"['ColumnPad', 8, 'A', 'R03-']","['ColumnPad', 8, 'A', 'R03+']","[-35979.978, 16419.804]"
"['ColumnPad', 8, 'A', 'R03+']","['ColumnPad', 8, 'A', 'L03-']","[-35979.978, 16419.804]"
"['ColumnPad', 8, 'A', 'L03-']","['ColumnPad', 8, 'A', 'L03+']","[-35979.978, 16419.804]"
"['ColumnPad', 8, 'A', 'R04-']","['ColumnPad', 8, 'A', 'R04+']","[-33329.978, 21009.739]"
"['ColumnPad', 8, 'A', 'R04+']","['ColumnPad', 8, 'A', 'L04-']","[-33329.978, 21009.739]"
"['ColumnPad', 8, 'A', 'L04-']","['ColumnPad', 8, 'A', 'L04+']","[-33329.978, 21009.739]"
"['ColumnPad', 8, 'A', 'R05-']","['ColumnPad', 8, 'A', 'R05+']","[-30679.978, 25599.673]"
"['ColumnPad', 8, 'A', 'R05+']","['ColumnPad', 8, 'A', 'L05-']","[-30679.978, 25599.673]"
"['ColumnPad', 8, 'A', 'L05-']","['ColumnPad', 8, 'A', 'L05+']","[-30679.978, 25599.673]"
"['ColumnPad', 8, 'A', 'R06-']","['ColumnPad', 8, 'A', 'R06+']","[-28029.978, 30189.608]"
"['ColumnPad', 8, 'A', 'R06+']","['ColumnPad', 8, 'A', 'L06-']","[-28029.978, 30189.608]"
