distance to pad,"first pad(Gtype,GIndex,GSection,Label)","second pad(Gtype,GIndex,GSection,Label)"
425.7933771208754,[['RowPad' '10' 'C' 'T01+']],[['RowPad' '10' 'C' 'T01-']]
65060.96196101555,[['RowPad' '10' 'C' 'T01-']],[['ColumnPad' '1' 'C' 'R10+']]
425.7930231239147,[['ColumnPad' '1' 'C' 'R10+']],[['ColumnPad' '1' 'C' 'R10-']]
469.57362694789725,[['ColumnPad' '1' 'C' 'R10-']],[['ColumnPad' '1' 'C' 'L10+']]
425.79267229956264,[['ColumnPad' '1' 'C' 'L10+']],[['ColumnPad' '1' 'C' 'L10-']]
65440.07740200031,[['ColumnPad' '1' 'C' 'L10-']],[['RowPad' '10' 'C' 'B01+']]
425.79300109795344,[['RowPad' '1' 'A' 'B10+']],[['RowPad' '1' 'A' 'B10-']]
469.57362694789566,[['RowPad' '1' 'A' 'B10-']],[['RowPad' '1' 'A' 'T10+']]
425.79300109795463,[['RowPad' '1' 'A' 'T10+']],[['RowPad' '1' 'A' 'T10-']]
61268.29723727971,[['RowPad' '1' 'A' 'T10-']],[['ColumnPad' '10' 'A' 'R01+']]
425.7933771208754,[['ColumnPad' '10' 'A' 'R01+']],[['ColumnPad' '10' 'A' 'R01-']]
469.5742752749558,[['ColumnPad' '10' 'A' 'R01-']],[['ColumnPad' '10' 'A' 'L01+']]
425.7933771208754,[['ColumnPad' '10' 'A' 'L01+']],[['ColumnPad' '10' 'A' 'L01-']]
61096.81490987215,[['ColumnPad' '10' 'A' 'L01-']],[['RowPad' '1' 'A' 'B10+']]
425.79300109795577,[['RowPad' '3' 'A' 'B11+']],[['RowPad' '3' 'A' 'B11-']]
469.5736269478972,[['RowPad' '3' 'A' 'B11-']],[['RowPad' '3' 'A' 'T11+']]
425.7923655269099,[['RowPad' '3' 'A' 'T11+']],[['RowPad' '3' 'A' 'T11-']]
47693.85163920146,[['RowPad' '3' 'A' 'T11-']],[['ColumnPad' '11' 'A' 'R03+']]
425.7933771208754,[['ColumnPad' '11' 'A' 'R03+']],[['ColumnPad' '11' 'A' 'R03-']]
469.5742752749558,[['ColumnPad' '11' 'A' 'R03-']],[['ColumnPad' '11' 'A' 'L03+']]
425.7933771208754,[['ColumnPad' '11' 'A' 'L03+']],[['ColumnPad' '11' 'A' 'L03-']]
47485.85631281373,[['ColumnPad' '11' 'A' 'L03-']],[['RowPad' '3' 'A' 'B11+']]
425.7933771208754,[['RowPad' '11' 'C' 'B04+']],[['RowPad' '11' 'C' 'B04-']]
469.5742752749558,[['RowPad' '11' 'C' 'B04-']],[['RowPad' '11' 'C' 'T04+']]
425.7933771208754,[['RowPad' '11' 'C' 'T04+']],[['RowPad' '11' 'C' 'T04-']]
45839.76509383485,[['RowPad' '11' 'C' 'T04-']],[['ColumnPad' '4' 'C' 'R11+']]
425.79267229956264,[['ColumnPad' '4' 'C' 'R11+']],[['ColumnPad' '4' 'C' 'R11-']]
469.57362694789737,[['ColumnPad' '4' 'C' 'R11-']],[['ColumnPad' '4' 'C' 'L11+']]
425.79267229956264,[['ColumnPad' '4' 'C' 'L11+']],[['ColumnPad' '4' 'C' 'L11-']]
46252.49171835974,[['ColumnPad' '4' 'C' 'L11-']],[['RowPad' '11' 'C' 'B04+']]
425.7933771208754,[['RowPad' '10' 'C' 'B02+']],[['RowPad' '10' 'C' 'B02-']]
469.5742752749558,[['RowPad' '10' 'C' 'B02-']],[['RowPad' '10' 'C' 'T02+']]
425.7933771208754,[['RowPad' '10' 'C' 'T02+']],[['RowPad' '10' 'C' 'T02-']]
59650.91467264083,[['RowPad' '10' 'C' 'T02-']],[['ColumnPad' '2' 'C' 'R10+']]
425.792672299562,[['ColumnPad' '2' 'C' 'R10+']],[['ColumnPad' '2' 'C' 'R10-']]
469.57362694789725,[['ColumnPad' '2' 'C' 'R10-']],[['ColumnPad' '2' 'C' 'L10+']]
425.79302312391496,[['ColumnPad' '2' 'C' 'L10+']],[['ColumnPad' '2' 'C' 'L10-']]
60024.01952028754,[['ColumnPad' '2' 'C' 'L10-']],[['RowPad' '10' 'C' 'B02+']]
425.7933771208754,[['RowPad' '9' 'C' 'B00+']],[['RowPad' '9' 'C' 'B00-']]
469.5742752749558,[['RowPad' '9' 'C' 'B00-']],[['RowPad' '9' 'C' 'T00+']]
425.7933771208754,[['RowPad' '9' 'C' 'T00+']],[['RowPad' '9' 'C' 'T00-']]
469.5742752749558,[['RowPad' '9' 'C' 'T00-']],[['RowPad' '9' 'C' 'X00+']]
425.7933771208754,[['RowPad' '9' 'C' 'X00+']],[['RowPad' '9' 'C' 'X00-']]
73419.98375968072,[['RowPad' '9' 'C' 'X00-']],[['ColumnPad' '0' 'C' 'R09+']]
425.7930231239147,[['ColumnPad' '0' 'C' 'R09+']],[['ColumnPad' '0' 'C' 'R09-']]
