distance,1st Grouptype,1st GroupIndex,1st Group Section,1st Pad Label,1st Pixel X center,1st Pixel Y center,1st Pad X center,1st Pad Y center,2nd Grouptype,2nd GroupIndex,2nd Group Section,2nd Pad Label,2nd Pixel X center,2nd Pixel Y center,2nd Pad X center,2nd Pad Y center
425.793,RowPad,0,A,B11+,-59829.978,2650.0,-63716.616,4448.08,RowPad,0,A,T11-,-59829.978,2650.0,-63317.886,4298.701
62825.021,RowPad,0,A,B11+,-59829.978,2650.0,-63716.616,4448.08,ColumnPad,11,A,R00+,-59829.978,2650.0,-29913.842,57404.248
62433.557,RowPad,0,A,B11+,-59829.978,2650.0,-63716.616,4448.08,ColumnPad,11,A,R00-,-59829.978,2650.0,-29983.842,56984.248
62900.458,RowPad,0,A,B11+,-59829.978,2650.0,-63716.616,4448.08,ColumnPad,11,A,L00+,-59829.978,2650.0,-29773.842,57404.248
62509.309,RowPad,0,A,B11+,-59829.978,2650.0,-63716.616,4448.08,ColumnPad,11,A,L00-,-59829.978,2650.0,-29843.842,56984.248
469.574,RowPad,0,A,B11-,-59829.978,2650.0,-63387.886,4177.458,RowPad,0,A,T11+,-59829.978,2650.0,-63646.616,4569.323
140.0,RowPad,0,A,B11-,-59829.978,2650.0,-63387.886,4177.458,RowPad,0,A,T11-,-59829.978,2650.0,-63317.886,4298.701
62877.681,RowPad,0,A,B11-,-59829.978,2650.0,-63387.886,4177.458,ColumnPad,11,A,R00+,-59829.978,2650.0,-29913.842,57404.248
62485.096,RowPad,0,A,B11-,-59829.978,2650.0,-63387.886,4177.458,ColumnPad,11,A,R00-,-59829.978,2650.0,-29983.842,56984.248
62952.324,RowPad,0,A,B11-,-59829.978,2650.0,-63387.886,4177.458,ColumnPad,11,A,L00+,-59829.978,2650.0,-29773.842,57404.248
62560.051,RowPad,0,A,B11-,-59829.978,2650.0,-63387.886,4177.458,ColumnPad,11,A,L00-,-59829.978,2650.0,-29843.842,56984.248
425.793,RowPad,0,A,T11+,-59829.978,2650.0,-63646.616,4569.323,RowPad,0,A,T11-,-59829.978,2650.0,-63317.886,4298.701
62685.16,RowPad,0,A,T11+,-59829.978,2650.0,-63646.616,4569.323,ColumnPad,11,A,R00+,-59829.978,2650.0,-29913.842,57404.248
62293.713,RowPad,0,A,T11+,-59829.978,2650.0,-63646.616,4569.323,ColumnPad,11,A,R00-,-59829.978,2650.0,-29983.842,56984.248
62760.61,RowPad,0,A,T11+,-59829.978,2650.0,-63646.616,4569.323,ColumnPad,11,A,L00+,-59829.978,2650.0,-29773.842,57404.248
62369.479,RowPad,0,A,T11+,-59829.978,2650.0,-63646.616,4569.323,ColumnPad,11,A,L00-,-59829.978,2650.0,-29843.842,56984.248
62737.782,RowPad,0,A,T11-,-59829.978,2650.0,-63317.886,4298.701,ColumnPad,11,A,R00+,-59829.978,2650.0,-29913.842,57404.248
62345.211,RowPad,0,A,T11-,-59829.978,2650.0,-63317.886,4298.701,ColumnPad,11,A,R00-,-59829.978,2650.0,-29983.842,56984.248
62812.435,RowPad,0,A,T11-,-59829.978,2650.0,-63317.886,4298.701,ColumnPad,11,A,L00+,-59829.978,2650.0,-29773.842,57404.248
62420.177,RowPad,0,A,T11-,-59829.978,2650.0,-63317.886,4298.701,ColumnPad,11,A,L00-,-59829.978,2650.0,-29843.842,56984.248
425.793,ColumnPad,11,A,R00+,-59829.978,2650.0,-29913.842,57404.248,ColumnPad,11,A,R00-,-59829.978,2650.0,-29983.842,56984.248
140.0,ColumnPad,11,A,R00+,-59829.978,2650.0,-29913.842,57404.248,ColumnPad,11,A,L00+,-59829.978,2650.0,-29773.842,57404.248
425.793,ColumnPad,11,A,R00+,-59829.978,2650.0,-29913.842,57404.248,ColumnPad,11,A,L00-,-59829.978,2650.0,-29843.842,56984.248
469.574,ColumnPad,11,A,R00-,-59829.978,2650.0,-29983.842,56984.248,ColumnPad,11,A,L00+,-59829.978,2650.0,-29773.842,57404.248
140.0,ColumnPad,11,A,R00-,-59829.978,2650.0,-29983.842,56984.248,ColumnPad,11,A,L00-,-59829.978,2650.0,-29843.842,56984.248
425.793,ColumnPad,11,A,L00+,-59829.978,2650.0,-29773.842,57404.248,ColumnPad,11,A,L00-,-59829.978,2650.0,-29843.842,56984.248
-10.11,1st Grouptype,1st GroupIndex,1st Group Section,1st Pad Label,1st Pixel X center,1st Pixel Y center,1st Pad X center,1st Pad Y center,2nd Grouptype,2nd GroupIndex,2nd Group Section,2nd Pad Label,2nd Pixel X center,2nd Pixel Y center,2nd Pad X center,2nd Pad Y center
