"distance  from  first pad(Gtype,GIndex,GSection,Label) to second pad"
"0.0, ['RowPad', 10, 'B', 'X00-'], ['RowPad', 10, 'B', 'T00+']"
"61122.58203949385, ['RowPad', 10, 'B', 'T11-'], ['RowPad', 11, 'B', 'X00+']"
"0.0, ['RowPad', 11, 'B', 'X00+'], ['RowPad', 11, 'B', 'B00+']"
"0.0, ['RowPad', 11, 'B', 'B00+'], ['RowPad', 11, 'B', 'X00-']"
"0.0, ['RowPad', 11, 'B', 'X00-'], ['RowPad', 11, 'B', 'T00+']"
"58540.41298898836, ['ColumnPad', 0, 'B', 'L11+'], ['RowPad', 0, 'C', 'X00-']"
"0.0, ['RowPad', 0, 'C', 'X00-'], ['RowPad', 0, 'C', 'X00+']"
"0.0, ['RowPad', 0, 'C', 'X00+'], ['RowPad', 0, 'C', 'B00-']"
"61122.5817181912, ['RowPad', 0, 'C', 'T11+'], ['RowPad', 1, 'C', 'X00-']"
"0.0, ['RowPad', 1, 'C', 'X00-'], ['RowPad', 1, 'C', 'X00+']"
"0.0, ['RowPad', 1, 'C', 'X00+'], ['RowPad', 1, 'C', 'B00-']"
"61122.5817181912, ['RowPad', 1, 'C', 'T11+'], ['RowPad', 2, 'C', 'X00-']"
"0.0, ['RowPad', 2, 'C', 'X00-'], ['RowPad', 2, 'C', 'X00+']"
"0.0, ['RowPad', 2, 'C', 'X00+'], ['RowPad', 2, 'C', 'B00-']"
"61122.5817181912, ['RowPad', 2, 'C', 'T11+'], ['RowPad', 3, 'C', 'X00-']"
"0.0, ['RowPad', 3, 'C', 'X00-'], ['RowPad', 3, 'C', 'X00+']"
"0.0, ['RowPad', 3, 'C', 'X00+'], ['RowPad', 3, 'C', 'B00-']"
"61122.5817181912, ['RowPad', 3, 'C', 'T11+'], ['RowPad', 4, 'C', 'X00-']"
"0.0, ['RowPad', 4, 'C', 'X00-'], ['RowPad', 4, 'C', 'X00+']"
"0.0, ['RowPad', 4, 'C', 'X00+'], ['RowPad', 4, 'C', 'B00-']"
"61122.5817181912, ['RowPad', 4, 'C', 'T11+'], ['RowPad', 5, 'C', 'X00-']"
"0.0, ['RowPad', 5, 'C', 'X00-'], ['RowPad', 5, 'C', 'X00+']"
"0.0, ['RowPad', 5, 'C', 'X00+'], ['RowPad', 5, 'C', 'B00-']"
"61122.5817181912, ['RowPad', 5, 'C', 'T11+'], ['RowPad', 6, 'C', 'X00-']"
"0.0, ['RowPad', 6, 'C', 'X00-'], ['RowPad', 6, 'C', 'X00+']"
"0.0, ['RowPad', 6, 'C', 'X00+'], ['RowPad', 6, 'C', 'B00-']"
"61122.5817181912, ['RowPad', 6, 'C', 'T11+'], ['RowPad', 7, 'C', 'X00-']"
"0.0, ['RowPad', 7, 'C', 'X00-'], ['RowPad', 7, 'C', 'X00+']"
"0.0, ['RowPad', 7, 'C', 'X00+'], ['RowPad', 7, 'C', 'B00-']"
"61122.5817181912, ['RowPad', 7, 'C', 'T11+'], ['RowPad', 8, 'C', 'X00-']"
"0.0, ['RowPad', 8, 'C', 'X00-'], ['RowPad', 8, 'C', 'X00+']"
"0.0, ['RowPad', 8, 'C', 'X00+'], ['RowPad', 8, 'C', 'B00-']"
"61122.5817181912, ['RowPad', 8, 'C', 'T11+'], ['RowPad', 9, 'C', 'X00-']"
"0.0, ['RowPad', 9, 'C', 'X00-'], ['RowPad', 9, 'C', 'X00+']"
"0.0, ['RowPad', 9, 'C', 'X00+'], ['RowPad', 9, 'C', 'B00-']"
"61122.5817181912, ['RowPad', 9, 'C', 'T11+'], ['RowPad', 10, 'C', 'X00-']"
"0.0, ['RowPad', 10, 'C', 'X00-'], ['RowPad', 10, 'C', 'X00+']"
"0.0, ['RowPad', 10, 'C', 'X00+'], ['RowPad', 10, 'C', 'B00-']"
"61122.5817181912, ['RowPad', 10, 'C', 'T11+'], ['RowPad', 11, 'C', 'X00-']"
"0.0, ['RowPad', 11, 'C', 'X00-'], ['RowPad', 11, 'C', 'X00+']"
"0.0, ['RowPad', 11, 'C', 'X00+'], ['RowPad', 11, 'C', 'B00-']"
"58540.41339109248, ['ColumnPad', 0, 'C', 'L11+'], ['RowPad', 0, 'A', 'X00+']"
