pad distance,1st Grouptype,1st GroupIndex,1st Group Section,1st Pad Label,1st Pixel X center,1st Pixel Y center,1st Pad X center,1st Pad Y center,2nd Grouptype,2nd GroupIndex,2nd Group Section,2nd Pad Label,2nd Pixel X center,2nd Pixel Y center,2nd Pad X center,2nd Pad Y center
425.793,ColumnPad,1,C,L10+,-51879.978,-7239.935,-62726.616,-6162.81,ColumnPad,1,C,L10-,-51879.978,-7239.935,-62327.886,-6013.432
65440.077,ColumnPad,1,C,L10-,-51879.978,-7239.935,-62327.886,-6013.432,RowPad,10,C,B01+,-51879.978,-7239.935,-21813.842,-57404.248
425.793,RowPad,1,A,B10+,-51879.978,7239.935,-61396.616,8466.438,RowPad,1,A,B10-,-51879.978,7239.935,-61067.886,8195.816
469.574,RowPad,1,A,B10-,-51879.978,7239.935,-61067.886,8195.816,RowPad,1,A,T10+,-51879.978,7239.935,-61326.616,8587.681
425.793,RowPad,1,A,T10+,-51879.978,7239.935,-61326.616,8587.681,RowPad,1,A,T10-,-51879.978,7239.935,-60997.886,8317.059
61268.297,RowPad,1,A,T10-,-51879.978,7239.935,-60997.886,8317.059,ColumnPad,10,A,R01+,-51879.978,7239.935,-24333.842,57404.248
425.793,ColumnPad,10,A,R01+,-51879.978,7239.935,-24333.842,57404.248,ColumnPad,10,A,R01-,-51879.978,7239.935,-24403.842,56984.248
469.574,ColumnPad,10,A,R01-,-51879.978,7239.935,-24403.842,56984.248,ColumnPad,10,A,L01+,-51879.978,7239.935,-24193.842,57404.248
425.793,ColumnPad,10,A,L01+,-51879.978,7239.935,-24193.842,57404.248,ColumnPad,10,A,L01-,-51879.978,7239.935,-24263.842,56984.248
61096.815,ColumnPad,10,A,L01-,-51879.978,7239.935,-24263.842,56984.248,RowPad,1,A,B10+,-51879.978,7239.935,-61396.616,8466.438
425.793,RowPad,3,A,B11+,-51879.978,16419.804,-55956.616,17888.794,RowPad,3,A,B11-,-51879.978,16419.804,-55627.886,17618.172
469.574,RowPad,3,A,B11-,-51879.978,16419.804,-55627.886,17618.172,RowPad,3,A,T11+,-51879.978,16419.804,-55886.616,18010.037
425.792,RowPad,3,A,T11+,-51879.978,16419.804,-55886.616,18010.037,RowPad,3,A,T11-,-51879.978,16419.804,-55557.886,17739.416
47693.852,RowPad,3,A,T11-,-51879.978,16419.804,-55557.886,17739.416,ColumnPad,11,A,R03+,-51879.978,16419.804,-29073.842,57404.248
425.793,ColumnPad,11,A,R03+,-51879.978,16419.804,-29073.842,57404.248,ColumnPad,11,A,R03-,-51879.978,16419.804,-29143.842,56984.248
469.574,ColumnPad,11,A,R03-,-51879.978,16419.804,-29143.842,56984.248,ColumnPad,11,A,L03+,-51879.978,16419.804,-28933.842,57404.248
425.793,ColumnPad,11,A,L03+,-51879.978,16419.804,-28933.842,57404.248,ColumnPad,11,A,L03-,-51879.978,16419.804,-29003.842,56984.248
47485.856,ColumnPad,11,A,L03-,-51879.978,16419.804,-29003.842,56984.248,RowPad,3,A,B11+,-51879.978,16419.804,-55956.616,17888.794
425.793,RowPad,11,C,B04+,-49229.978,-21009.739,-27953.842,-57404.248,RowPad,11,C,B04-,-49229.978,-21009.739,-27883.842,-56984.248
469.574,RowPad,11,C,B04-,-49229.978,-21009.739,-27883.842,-56984.248,RowPad,11,C,T04+,-49229.978,-21009.739,-28093.842,-57404.248
425.793,RowPad,11,C,T04+,-49229.978,-21009.739,-28093.842,-57404.248,RowPad,11,C,T04-,-49229.978,-21009.739,-28023.842,-56984.248
45839.765,RowPad,11,C,T04-,-49229.978,-21009.739,-28023.842,-56984.248,ColumnPad,4,C,R11+,-49229.978,-21009.739,-54846.616,-19811.37
425.793,ColumnPad,4,C,R11+,-49229.978,-21009.739,-54846.616,-19811.37,ColumnPad,4,C,R11-,-49229.978,-21009.739,-54447.886,-19661.992
469.574,ColumnPad,4,C,R11-,-49229.978,-21009.739,-54447.886,-19661.992,ColumnPad,4,C,L11+,-49229.978,-21009.739,-54916.616,-19690.127
425.793,ColumnPad,4,C,L11+,-49229.978,-21009.739,-54916.616,-19690.127,ColumnPad,4,C,L11-,-49229.978,-21009.739,-54517.886,-19540.749
46252.492,ColumnPad,4,C,L11-,-49229.978,-21009.739,-54517.886,-19540.749,RowPad,11,C,B04+,-49229.978,-21009.739,-27953.842,-57404.248
425.793,RowPad,10,C,B02+,-49229.978,-11829.869,-22093.842,-57404.248,RowPad,10,C,B02-,-49229.978,-11829.869,-22023.842,-56984.248
