pixel distance,1st Grouptype,1st GroupIndex,1st Group Section,1st Pad Label,1st Pixel X center,1st Pixel Y center,1st Pad X center,1st Pad Y center,2nd Grouptype,2nd GroupIndex,2nd Group Section,2nd Pad Label,2nd Pixel X center,2nd Pixel Y center,2nd Pad X center,2nd Pad Y center
61122.58113836673,RowPad,4,B,T11-,42809.956,32129.542,45791.728,34654.898,RowPad,5,B,X00+,16309.956,-22949.673,47160.458,33124.187
0.0,RowPad,5,B,X00+,16309.956,-22949.673,47160.458,33124.187,RowPad,5,B,B00+,16309.956,-22949.673,47230.458,33002.943
0.0,RowPad,5,B,B00+,16309.956,-22949.673,47230.458,33002.943,RowPad,5,B,X00-,16309.956,-22949.673,46761.728,32974.809
0.0,RowPad,5,B,X00-,16309.956,-22949.673,46761.728,32974.809,RowPad,5,B,T00+,16309.956,-22949.673,47300.458,32881.7
61122.58203949385,RowPad,5,B,T11-,45459.956,27539.608,48441.728,30064.963,RowPad,6,B,X00+,18959.956,-27539.608,49810.458,28534.252
0.0,RowPad,6,B,X00+,18959.956,-27539.608,49810.458,28534.252,RowPad,6,B,B00+,18959.956,-27539.608,49880.458,28413.009
0.0,RowPad,6,B,B00+,18959.956,-27539.608,49880.458,28413.009,RowPad,6,B,X00-,18959.956,-27539.608,49411.728,28384.874
0.0,RowPad,6,B,X00-,18959.956,-27539.608,49411.728,28384.874,RowPad,6,B,T00+,18959.956,-27539.608,49950.458,28291.765
61122.58113836673,RowPad,6,B,T11-,48109.956,22949.673,51091.728,25475.029,RowPad,7,B,X00+,21609.956,-32129.542,52460.458,23944.318
0.0,RowPad,7,B,X00+,21609.956,-32129.542,52460.458,23944.318,RowPad,7,B,B00+,21609.956,-32129.542,52530.458,23823.074
0.0,RowPad,7,B,B00+,21609.956,-32129.542,52530.458,23823.074,RowPad,7,B,X00-,21609.956,-32129.542,52061.728,23794.939
0.0,RowPad,7,B,X00-,21609.956,-32129.542,52061.728,23794.939,RowPad,7,B,T00+,21609.956,-32129.542,52600.458,23701.831
61122.58203949385,RowPad,7,B,T11-,50759.956,18359.739,53741.728,20885.094,RowPad,8,B,X00+,24259.956,-36719.477,55110.458,19354.383
0.0,RowPad,8,B,X00+,24259.956,-36719.477,55110.458,19354.383,RowPad,8,B,B00+,24259.956,-36719.477,55180.458,19233.139
0.0,RowPad,8,B,B00+,24259.956,-36719.477,55180.458,19233.139,RowPad,8,B,X00-,24259.956,-36719.477,54711.728,19205.005
0.0,RowPad,8,B,X00-,24259.956,-36719.477,54711.728,19205.005,RowPad,8,B,T00+,24259.956,-36719.477,55250.458,19111.896
61122.58203949385,RowPad,8,B,T11-,53409.956,13769.804,56391.728,16295.159,RowPad,9,B,X00+,26909.956,-41309.412,57760.458,14764.448
0.0,RowPad,9,B,X00+,26909.956,-41309.412,57760.458,14764.448,RowPad,9,B,B00+,26909.956,-41309.412,57830.458,14643.205
0.0,RowPad,9,B,B00+,26909.956,-41309.412,57830.458,14643.205,RowPad,9,B,X00-,26909.956,-41309.412,57361.728,14615.07
0.0,RowPad,9,B,X00-,26909.956,-41309.412,57361.728,14615.07,RowPad,9,B,T00+,26909.956,-41309.412,57900.458,14521.961
61122.58113836673,RowPad,9,B,T11-,56059.956,9179.869,59041.728,11705.225,RowPad,10,B,X00+,29559.956,-45899.346,60410.458,10174.514
0.0,RowPad,10,B,X00+,29559.956,-45899.346,60410.458,10174.514,RowPad,10,B,B00+,29559.956,-45899.346,60480.458,10053.27
0.0,RowPad,10,B,B00+,29559.956,-45899.346,60480.458,10053.27,RowPad,10,B,X00-,29559.956,-45899.346,60011.728,10025.136
0.0,RowPad,10,B,X00-,29559.956,-45899.346,60011.728,10025.136,RowPad,10,B,T00+,29559.956,-45899.346,60550.458,9932.027
61122.58203949385,RowPad,10,B,T11-,58709.956,4589.935,61691.728,7115.29,RowPad,11,B,X00+,32209.956,-50489.281,63060.458,5584.579
0.0,RowPad,11,B,X00+,32209.956,-50489.281,63060.458,5584.579,RowPad,11,B,B00+,32209.956,-50489.281,63130.458,5463.336
0.0,RowPad,11,B,B00+,32209.956,-50489.281,63130.458,5463.336,RowPad,11,B,X00-,32209.956,-50489.281,62661.728,5435.201
0.0,RowPad,11,B,X00-,32209.956,-50489.281,62661.728,5435.201,RowPad,11,B,T00+,32209.956,-50489.281,63200.458,5342.092
58540.41298898836,ColumnPad,0,B,L11+,32209.956,-50489.281,34100.458,-55744.77,RowPad,0,C,X00-,-1529.978,-2650.0,31296.158,-56984.248
0.0,RowPad,0,C,X00-,-1529.978,-2650.0,31296.158,-56984.248,RowPad,0,C,X00+,-1529.978,-2650.0,31226.158,-57404.248
0.0,RowPad,0,C,X00+,-1529.978,-2650.0,31226.158,-57404.248,RowPad,0,C,B00-,-1529.978,-2650.0,31156.158,-56984.248
61122.5817181912,RowPad,0,C,T11+,27620.022,-53139.281,27866.158,-57404.248,RowPad,1,C,X00-,-6829.978,-2650.0,26376.158,-56984.248
0.0,RowPad,1,C,X00-,-6829.978,-2650.0,26376.158,-56984.248,RowPad,1,C,X00+,-6829.978,-2650.0,26306.158,-57404.248
0.0,RowPad,1,C,X00+,-6829.978,-2650.0,26306.158,-57404.248,RowPad,1,C,B00-,-6829.978,-2650.0,26236.158,-56984.248
61122.5817181912,RowPad,1,C,T11+,22320.022,-53139.281,22946.158,-57404.248,RowPad,2,C,X00-,-12129.978,-2650.0,21076.158,-56984.248
0.0,RowPad,2,C,X00-,-12129.978,-2650.0,21076.158,-56984.248,RowPad,2,C,X00+,-12129.978,-2650.0,21006.158,-57404.248
0.0,RowPad,2,C,X00+,-12129.978,-2650.0,21006.158,-57404.248,RowPad,2,C,B00-,-12129.978,-2650.0,20936.158,-56984.248
61122.5817181912,RowPad,2,C,T11+,17020.022,-53139.281,17646.158,-57404.248,RowPad,3,C,X00-,-17429.978,-2650.0,15776.158,-56984.248
0.0,RowPad,3,C,X00-,-17429.978,-2650.0,15776.158,-56984.248,RowPad,3,C,X00+,-17429.978,-2650.0,15706.158,-57404.248
0.0,RowPad,3,C,X00+,-17429.978,-2650.0,15706.158,-57404.248,RowPad,3,C,B00-,-17429.978,-2650.0,15636.158,-56984.248
61122.5817181912,RowPad,3,C,T11+,11720.022,-53139.281,12346.158,-57404.248,RowPad,4,C,X00-,-22729.978,-2650.0,10476.158,-56984.248
0.0,RowPad,4,C,X00-,-22729.978,-2650.0,10476.158,-56984.248,RowPad,4,C,X00+,-22729.978,-2650.0,10406.158,-57404.248
0.0,RowPad,4,C,X00+,-22729.978,-2650.0,10406.158,-57404.248,RowPad,4,C,B00-,-22729.978,-2650.0,10336.158,-56984.248
61122.5817181912,RowPad,4,C,T11+,6420.022,-53139.281,7046.158,-57404.248,RowPad,5,C,X00-,-28029.978,-2650.0,5176.158,-56984.248
0.0,RowPad,5,C,X00-,-28029.978,-2650.0,5176.158,-56984.248,RowPad,5,C,X00+,-28029.978,-2650.0,5106.158,-57404.248
0.0,RowPad,5,C,X00+,-28029.978,-2650.0,5106.158,-57404.248,RowPad,5,C,B00-,-28029.978,-2650.0,5036.158,-56984.248
61122.5817181912,RowPad,5,C,T11+,1120.022,-53139.281,1746.158,-57404.248,RowPad,6,C,X00-,-33329.978,-2650.0,-123.842,-56984.248
0.0,RowPad,6,C,X00-,-33329.978,-2650.0,-123.842,-56984.248,RowPad,6,C,X00+,-33329.978,-2650.0,-193.842,-57404.248
0.0,RowPad,6,C,X00+,-33329.978,-2650.0,-193.842,-57404.248,RowPad,6,C,B00-,-33329.978,-2650.0,-263.842,-56984.248
61122.5817181912,RowPad,6,C,T11+,-4179.978,-53139.281,-3553.842,-57404.248,RowPad,7,C,X00-,-38629.978,-2650.0,-5423.842,-56984.248
0.0,RowPad,7,C,X00-,-38629.978,-2650.0,-5423.842,-56984.248,RowPad,7,C,X00+,-38629.978,-2650.0,-5493.842,-57404.248
0.0,RowPad,7,C,X00+,-38629.978,-2650.0,-5493.842,-57404.248,RowPad,7,C,B00-,-38629.978,-2650.0,-5563.842,-56984.248
