pad distance,1st Grouptype,1st GroupIndex,1st Group Section,1st Pad Label,2nd Grouptype,2nd GroupIndex,2nd Group Section,2nd Pad Label
140.0,RowPad,5,B,B02+,RowPad,5,B,T02+
140.0,RowPad,5,B,B02-,RowPad,5,B,T02-
140.0,ColumnPad,2,B,R05+,ColumnPad,2,B,L05+
140.0,ColumnPad,2,B,R05-,ColumnPad,2,B,L05-
140.0,RowPad,4,B,B03+,RowPad,4,B,T03+
140.0,RowPad,4,B,B03-,RowPad,4,B,T03-
140.0,ColumnPad,3,B,R04+,ColumnPad,3,B,L04+
140.0,ColumnPad,3,B,R04-,ColumnPad,3,B,L04-
140.0,RowPad,3,B,B04+,RowPad,3,B,T04+
140.0,RowPad,3,B,B04-,RowPad,3,B,T04-
140.0,ColumnPad,4,B,R03+,ColumnPad,4,B,L03+
140.0,ColumnPad,4,B,R03-,ColumnPad,4,B,L03-
140.0,RowPad,2,B,B05+,RowPad,2,B,T05+
140.0,RowPad,2,B,B05-,RowPad,2,B,T05-
140.0,ColumnPad,5,B,R02+,ColumnPad,5,B,L02+
140.0,ColumnPad,5,B,R02-,ColumnPad,5,B,L02-
140.0,RowPad,1,B,B06+,RowPad,1,B,T06+
140.0,RowPad,1,B,B06-,RowPad,1,B,T06-
140.0,ColumnPad,6,B,R01+,ColumnPad,6,B,L01+
140.0,ColumnPad,6,B,R01-,ColumnPad,6,B,L01-
140.0,RowPad,0,B,B07+,RowPad,0,B,T07+
140.0,RowPad,0,B,B07-,RowPad,0,B,T07-
140.0,ColumnPad,7,B,R00+,ColumnPad,7,B,L00+
140.0,ColumnPad,7,B,R00-,ColumnPad,7,B,L00-
140.0,RowPad,1,C,B11+,RowPad,1,C,T11+
140.0,RowPad,1,C,B11-,RowPad,1,C,T11-
140.0,ColumnPad,11,C,R01+,ColumnPad,11,C,L01+
140.0,ColumnPad,11,C,R01-,ColumnPad,11,C,L01-
140.0,RowPad,0,C,B09+,RowPad,0,C,T09+
140.0,RowPad,0,C,B09-,RowPad,0,C,T09-
140.0,ColumnPad,9,C,R00+,ColumnPad,9,C,L00+
140.0,ColumnPad,9,C,R00-,ColumnPad,9,C,L00-
140.0,RowPad,9,A,B00+,RowPad,9,A,T00+
140.0,RowPad,9,A,B00+,RowPad,9,A,X00+
140.0,RowPad,9,A,B00-,RowPad,9,A,T00-
140.0,RowPad,9,A,B00-,RowPad,9,A,X00-
280.0,RowPad,9,A,T00+,RowPad,9,A,X00+
280.0,RowPad,9,A,T00-,RowPad,9,A,X00-
140.0,ColumnPad,0,A,R09+,ColumnPad,0,A,L09+
140.0,ColumnPad,0,A,R09-,ColumnPad,0,A,L09-
140.0,RowPad,11,A,B01+,RowPad,11,A,T01+
140.0,RowPad,11,A,B01-,RowPad,11,A,T01-
140.0,ColumnPad,1,A,R11+,ColumnPad,1,A,L11+
140.0,ColumnPad,1,A,R11-,ColumnPad,1,A,L11-
140.0,RowPad,8,B,B00+,RowPad,8,B,T00+
140.0,RowPad,8,B,B00+,RowPad,8,B,X00+
140.0,RowPad,8,B,B00-,RowPad,8,B,T00-
140.0,RowPad,8,B,B00-,RowPad,8,B,X00-
280.0,RowPad,8,B,T00+,RowPad,8,B,X00+
280.0,RowPad,8,B,T00-,RowPad,8,B,X00-
140.0,ColumnPad,0,B,R08+,ColumnPad,0,B,L08+
140.0,ColumnPad,0,B,R08-,ColumnPad,0,B,L08-
140.0,RowPad,7,B,B01+,RowPad,7,B,T01+
140.0,RowPad,7,B,B01-,RowPad,7,B,T01-
140.0,ColumnPad,1,B,R07+,ColumnPad,1,B,L07+
140.0,ColumnPad,1,B,R07-,ColumnPad,1,B,L07-
140.0,RowPad,6,B,B02+,RowPad,6,B,T02+
140.0,RowPad,6,B,B02-,RowPad,6,B,T02-
140.0,ColumnPad,2,B,R06+,ColumnPad,2,B,L06+
140.0,ColumnPad,2,B,R06-,ColumnPad,2,B,L06-
140.0,RowPad,5,B,B03+,RowPad,5,B,T03+
140.0,RowPad,5,B,B03-,RowPad,5,B,T03-
140.0,ColumnPad,3,B,R05+,ColumnPad,3,B,L05+
140.0,ColumnPad,3,B,R05-,ColumnPad,3,B,L05-
140.0,RowPad,4,B,B04+,RowPad,4,B,T04+
140.0,RowPad,4,B,B04-,RowPad,4,B,T04-
140.0,ColumnPad,4,B,R04+,ColumnPad,4,B,L04+
140.0,ColumnPad,4,B,R04-,ColumnPad,4,B,L04-
140.0,RowPad,3,B,B05+,RowPad,3,B,T05+
140.0,RowPad,3,B,B05-,RowPad,3,B,T05-
140.0,ColumnPad,5,B,R03+,ColumnPad,5,B,L03+
140.0,ColumnPad,5,B,R03-,ColumnPad,5,B,L03-
140.0,RowPad,2,B,B06+,RowPad,2,B,T06+
140.0,RowPad,2,B,B06-,RowPad,2,B,T06-
140.0,ColumnPad,6,B,R02+,ColumnPad,6,B,L02+
140.0,ColumnPad,6,B,R02-,ColumnPad,6,B,L02-
140.0,RowPad,1,B,B07+,RowPad,1,B,T07+
140.0,RowPad,1,B,B07-,RowPad,1,B,T07-
140.0,ColumnPad,7,B,R01+,ColumnPad,7,B,L01+
140.0,ColumnPad,7,B,R01-,ColumnPad,7,B,L01-
140.0,RowPad,0,B,B08+,RowPad,0,B,T08+
140.0,RowPad,0,B,B08-,RowPad,0,B,T08-
140.0,ColumnPad,8,B,R00+,ColumnPad,8,B,L00+
140.0,ColumnPad,8,B,R00-,ColumnPad,8,B,L00-
140.0,RowPad,0,C,B10+,RowPad,0,C,T10+
140.0,RowPad,0,C,B10-,RowPad,0,C,T10-
140.0,ColumnPad,10,C,R00+,ColumnPad,10,C,L00+
140.0,ColumnPad,10,C,R00-,ColumnPad,10,C,L00-
140.0,RowPad,10,A,B00+,RowPad,10,A,T00+
140.0,RowPad,10,A,B00+,RowPad,10,A,X00+
140.0,RowPad,10,A,B00-,RowPad,10,A,T00-
140.0,RowPad,10,A,B00-,RowPad,10,A,X00-
280.0,RowPad,10,A,T00+,RowPad,10,A,X00+
280.0,RowPad,10,A,T00-,RowPad,10,A,X00-
140.0,ColumnPad,0,A,R10+,ColumnPad,0,A,L10+
140.0,ColumnPad,0,A,R10-,ColumnPad,0,A,L10-
140.0,RowPad,9,B,B00+,RowPad,9,B,T00+
140.0,RowPad,9,B,B00+,RowPad,9,B,X00+
140.0,RowPad,9,B,B00-,RowPad,9,B,T00-
140.0,RowPad,9,B,B00-,RowPad,9,B,X00-
280.0,RowPad,9,B,T00+,RowPad,9,B,X00+
280.0,RowPad,9,B,T00-,RowPad,9,B,X00-
140.0,ColumnPad,0,B,R09+,ColumnPad,0,B,L09+
140.0,ColumnPad,0,B,R09-,ColumnPad,0,B,L09-
140.0,RowPad,8,B,B01+,RowPad,8,B,T01+
140.0,RowPad,8,B,B01-,RowPad,8,B,T01-
140.0,ColumnPad,1,B,R08+,ColumnPad,1,B,L08+
140.0,ColumnPad,1,B,R08-,ColumnPad,1,B,L08-
140.0,RowPad,7,B,B02+,RowPad,7,B,T02+
140.0,RowPad,7,B,B02-,RowPad,7,B,T02-
140.0,ColumnPad,2,B,R07+,ColumnPad,2,B,L07+
140.0,ColumnPad,2,B,R07-,ColumnPad,2,B,L07-
140.0,RowPad,6,B,B03+,RowPad,6,B,T03+
140.0,RowPad,6,B,B03-,RowPad,6,B,T03-
140.0,ColumnPad,3,B,R06+,ColumnPad,3,B,L06+
140.0,ColumnPad,3,B,R06-,ColumnPad,3,B,L06-
140.0,RowPad,5,B,B04+,RowPad,5,B,T04+
140.0,RowPad,5,B,B04-,RowPad,5,B,T04-
140.0,ColumnPad,4,B,R05+,ColumnPad,4,B,L05+
140.0,ColumnPad,4,B,R05-,ColumnPad,4,B,L05-
140.0,RowPad,4,B,B05+,RowPad,4,B,T05+
140.0,RowPad,4,B,B05-,RowPad,4,B,T05-
140.0,ColumnPad,5,B,R04+,ColumnPad,5,B,L04+
140.0,ColumnPad,5,B,R04-,ColumnPad,5,B,L04-
140.0,RowPad,3,B,B06+,RowPad,3,B,T06+
140.0,RowPad,3,B,B06-,RowPad,3,B,T06-
140.0,ColumnPad,6,B,R03+,ColumnPad,6,B,L03+
140.0,ColumnPad,6,B,R03-,ColumnPad,6,B,L03-
140.0,RowPad,2,B,B07+,RowPad,2,B,T07+
140.0,RowPad,2,B,B07-,RowPad,2,B,T07-
140.0,ColumnPad,7,B,R02+,ColumnPad,7,B,L02+
140.0,ColumnPad,7,B,R02-,ColumnPad,7,B,L02-
140.0,RowPad,1,B,B08+,RowPad,1,B,T08+
140.0,RowPad,1,B,B08-,RowPad,1,B,T08-
140.0,ColumnPad,8,B,R01+,ColumnPad,8,B,L01+
140.0,ColumnPad,8,B,R01-,ColumnPad,8,B,L01-
140.0,RowPad,0,B,B09+,RowPad,0,B,T09+
140.0,RowPad,0,B,B09-,RowPad,0,B,T09-
140.0,ColumnPad,9,B,R00+,ColumnPad,9,B,L00+
140.0,ColumnPad,9,B,R00-,ColumnPad,9,B,L00-
140.0,RowPad,0,C,B11+,RowPad,0,C,T11+
140.0,RowPad,0,C,B11-,RowPad,0,C,T11-
140.0,ColumnPad,11,C,R00+,ColumnPad,11,C,L00+
140.0,ColumnPad,11,C,R00-,ColumnPad,11,C,L00-
140.0,RowPad,11,A,B00+,RowPad,11,A,T00+
140.0,RowPad,11,A,B00+,RowPad,11,A,X00+
140.0,RowPad,11,A,B00-,RowPad,11,A,T00-
140.0,RowPad,11,A,B00-,RowPad,11,A,X00-
280.0,RowPad,11,A,T00+,RowPad,11,A,X00+
280.001,RowPad,11,A,T00-,RowPad,11,A,X00-
140.0,ColumnPad,0,A,R11+,ColumnPad,0,A,L11+
140.0,ColumnPad,0,A,R11-,ColumnPad,0,A,L11-
140.0,RowPad,10,B,B00+,RowPad,10,B,T00+
140.0,RowPad,10,B,B00+,RowPad,10,B,X00+
140.0,RowPad,10,B,B00-,RowPad,10,B,T00-
140.0,RowPad,10,B,B00-,RowPad,10,B,X00-
280.0,RowPad,10,B,T00+,RowPad,10,B,X00+
280.001,RowPad,10,B,T00-,RowPad,10,B,X00-
140.0,ColumnPad,0,B,R10+,ColumnPad,0,B,L10+
140.0,ColumnPad,0,B,R10-,ColumnPad,0,B,L10-
140.0,RowPad,9,B,B01+,RowPad,9,B,T01+
140.0,RowPad,9,B,B01-,RowPad,9,B,T01-
140.0,ColumnPad,1,B,R09+,ColumnPad,1,B,L09+
140.0,ColumnPad,1,B,R09-,ColumnPad,1,B,L09-
140.0,RowPad,8,B,B02+,RowPad,8,B,T02+
140.0,RowPad,8,B,B02-,RowPad,8,B,T02-
140.0,ColumnPad,2,B,R08+,ColumnPad,2,B,L08+
140.0,ColumnPad,2,B,R08-,ColumnPad,2,B,L08-
140.0,RowPad,7,B,B03+,RowPad,7,B,T03+
140.0,RowPad,7,B,B03-,RowPad,7,B,T03-
140.0,ColumnPad,3,B,R07+,ColumnPad,3,B,L07+
140.0,ColumnPad,3,B,R07-,ColumnPad,3,B,L07-
140.0,RowPad,6,B,B04+,RowPad,6,B,T04+
140.0,RowPad,6,B,B04-,RowPad,6,B,T04-
140.0,ColumnPad,4,B,R06+,ColumnPad,4,B,L06+
140.0,ColumnPad,4,B,R06-,ColumnPad,4,B,L06-
140.0,RowPad,5,B,B05+,RowPad,5,B,T05+
140.0,RowPad,5,B,B05-,RowPad,5,B,T05-
140.0,ColumnPad,5,B,R05+,ColumnPad,5,B,L05+
140.0,ColumnPad,5,B,R05-,ColumnPad,5,B,L05-
140.0,RowPad,4,B,B06+,RowPad,4,B,T06+
140.0,RowPad,4,B,B06-,RowPad,4,B,T06-
140.0,ColumnPad,6,B,R04+,ColumnPad,6,B,L04+
140.0,ColumnPad,6,B,R04-,ColumnPad,6,B,L04-
140.0,RowPad,3,B,B07+,RowPad,3,B,T07+
140.0,RowPad,3,B,B07-,RowPad,3,B,T07-
140.0,ColumnPad,7,B,R03+,ColumnPad,7,B,L03+
140.0,ColumnPad,7,B,R03-,ColumnPad,7,B,L03-
140.0,RowPad,2,B,B08+,RowPad,2,B,T08+
140.0,RowPad,2,B,B08-,RowPad,2,B,T08-
140.0,ColumnPad,8,B,R02+,ColumnPad,8,B,L02+
140.0,ColumnPad,8,B,R02-,ColumnPad,8,B,L02-
140.0,RowPad,1,B,B09+,RowPad,1,B,T09+
140.0,RowPad,1,B,B09-,RowPad,1,B,T09-
140.0,ColumnPad,9,B,R01+,ColumnPad,9,B,L01+
140.0,ColumnPad,9,B,R01-,ColumnPad,9,B,L01-
140.0,RowPad,0,B,B10+,RowPad,0,B,T10+
140.0,RowPad,0,B,B10-,RowPad,0,B,T10-
140.0,ColumnPad,10,B,R00+,ColumnPad,10,B,L00+
140.0,ColumnPad,10,B,R00-,ColumnPad,10,B,L00-
140.0,RowPad,11,B,B00+,RowPad,11,B,T00+
140.0,RowPad,11,B,B00+,RowPad,11,B,X00+
140.0,RowPad,11,B,B00-,RowPad,11,B,T00-
140.0,RowPad,11,B,B00-,RowPad,11,B,X00-
280.0,RowPad,11,B,T00+,RowPad,11,B,X00+
280.0,RowPad,11,B,T00-,RowPad,11,B,X00-
140.0,ColumnPad,0,B,R11+,ColumnPad,0,B,L11+
140.0,ColumnPad,0,B,R11-,ColumnPad,0,B,L11-
140.0,RowPad,10,B,B01+,RowPad,10,B,T01+
140.0,RowPad,10,B,B01-,RowPad,10,B,T01-
140.0,ColumnPad,1,B,R10+,ColumnPad,1,B,L10+
140.0,ColumnPad,1,B,R10-,ColumnPad,1,B,L10-
140.0,RowPad,9,B,B02+,RowPad,9,B,T02+
140.0,RowPad,9,B,B02-,RowPad,9,B,T02-
140.0,ColumnPad,2,B,R09+,ColumnPad,2,B,L09+
140.0,ColumnPad,2,B,R09-,ColumnPad,2,B,L09-
140.0,RowPad,8,B,B03+,RowPad,8,B,T03+
140.0,RowPad,8,B,B03-,RowPad,8,B,T03-
140.0,ColumnPad,3,B,R08+,ColumnPad,3,B,L08+
140.0,ColumnPad,3,B,R08-,ColumnPad,3,B,L08-
140.0,RowPad,7,B,B04+,RowPad,7,B,T04+
140.0,RowPad,7,B,B04-,RowPad,7,B,T04-
140.0,ColumnPad,4,B,R07+,ColumnPad,4,B,L07+
140.0,ColumnPad,4,B,R07-,ColumnPad,4,B,L07-
140.0,RowPad,6,B,B05+,RowPad,6,B,T05+
140.0,RowPad,6,B,B05-,RowPad,6,B,T05-
140.0,ColumnPad,5,B,R06+,ColumnPad,5,B,L06+
140.0,ColumnPad,5,B,R06-,ColumnPad,5,B,L06-
140.0,RowPad,5,B,B06+,RowPad,5,B,T06+
140.0,RowPad,5,B,B06-,RowPad,5,B,T06-
140.0,ColumnPad,6,B,R05+,ColumnPad,6,B,L05+
140.0,ColumnPad,6,B,R05-,ColumnPad,6,B,L05-
140.0,RowPad,4,B,B07+,RowPad,4,B,T07+
140.0,RowPad,4,B,B07-,RowPad,4,B,T07-
140.0,ColumnPad,7,B,R04+,ColumnPad,7,B,L04+
140.0,ColumnPad,7,B,R04-,ColumnPad,7,B,L04-
140.0,RowPad,3,B,B08+,RowPad,3,B,T08+
140.0,RowPad,3,B,B08-,RowPad,3,B,T08-
140.0,ColumnPad,8,B,R03+,ColumnPad,8,B,L03+
