1st Grouptype,1st GroupIndex,1st Group Section,1st Pad Label,1st Pixel X center,1st Pixel Y center,1st Pad X center,1st Pad Y center,2nd Grouptype,2nd GroupIndex,2nd Group Section,2nd Pad Label,2nd Pixel X center,2nd Pixel Y center,2nd Pad X center,2nd Pad Y center
ColumnPad,10,A,L03-,-46579.978,16419.804,-23703.842,56984.248,ColumnPad,10,A,L03+,-46579.978,16419.804,-23633.842,57404.248
ColumnPad,10,A,R04-,-43929.978,21009.739,-23563.842,56984.248,ColumnPad,10,A,R04+,-43929.978,21009.739,-23493.842,57404.248
ColumnPad,10,A,R04+,-43929.978,21009.739,-23493.842,57404.248,ColumnPad,10,A,L04-,-43929.978,21009.739,-23423.842,56984.248
ColumnPad,10,A,L04-,-43929.978,21009.739,-23423.842,56984.248,ColumnPad,10,A,L04+,-43929.978,21009.739,-23353.842,57404.248
ColumnPad,10,A,R05-,-41279.978,25599.673,-23283.842,56984.248,ColumnPad,10,A,R05+,-41279.978,25599.673,-23213.842,57404.248
ColumnPad,10,A,R05+,-41279.978,25599.673,-23213.842,57404.248,ColumnPad,10,A,L05-,-41279.978,25599.673,-23143.842,56984.248
ColumnPad,10,A,L05-,-41279.978,25599.673,-23143.842,56984.248,ColumnPad,10,A,L05+,-41279.978,25599.673,-23073.842,57404.248
ColumnPad,10,A,R06-,-38629.978,30189.608,-23003.842,56984.248,ColumnPad,10,A,R06+,-38629.978,30189.608,-22933.842,57404.248
ColumnPad,10,A,R06+,-38629.978,30189.608,-22933.842,57404.248,ColumnPad,10,A,L06-,-38629.978,30189.608,-22863.842,56984.248
ColumnPad,10,A,L06-,-38629.978,30189.608,-22863.842,56984.248,ColumnPad,10,A,L06+,-38629.978,30189.608,-22793.842,57404.248
ColumnPad,10,A,R07-,-35979.978,34779.542,-22723.842,56984.248,ColumnPad,10,A,R07+,-35979.978,34779.542,-22653.842,57404.248
ColumnPad,10,A,R07+,-35979.978,34779.542,-22653.842,57404.248,ColumnPad,10,A,L07-,-35979.978,34779.542,-22583.842,56984.248
ColumnPad,10,A,L07-,-35979.978,34779.542,-22583.842,56984.248,ColumnPad,10,A,L07+,-35979.978,34779.542,-22513.842,57404.248
ColumnPad,10,A,R08-,-33329.978,39369.477,-22443.842,56984.248,ColumnPad,10,A,R08+,-33329.978,39369.477,-22373.842,57404.248
ColumnPad,10,A,R08+,-33329.978,39369.477,-22373.842,57404.248,ColumnPad,10,A,L08-,-33329.978,39369.477,-22303.842,56984.248
ColumnPad,10,A,L08-,-33329.978,39369.477,-22303.842,56984.248,ColumnPad,10,A,L08+,-33329.978,39369.477,-22233.842,57404.248
