in s,C1 in V,C4 in V
-3.38000E-08,6.34766E-01,-1.59256E+00
-3.36000E-08,5.37109E-01,-1.59256E+00
-3.34000E-08,4.39453E-01,-1.59744E+00
-3.32000E-08,3.41797E-01,-1.61209E+00
-3.30000E-08,2.44141E-01,-1.62186E+00
-3.28000E-08,3.41797E-01,-1.61697E+00
-3.26000E-08,6.34766E-01,-1.61209E+00
-3.24000E-08,8.30078E-01,-1.61209E+00
-3.22000E-08,8.30078E-01,-1.61697E+00
-3.20000E-08,6.34766E-01,-1.61209E+00
-3.18000E-08,5.37109E-01,-1.59256E+00
-3.16000E-08,4.39453E-01,-1.58279E+00
-3.14000E-08,3.41797E-01,-1.59256E+00
-3.12000E-08,3.41797E-01,-1.60232E+00
-3.10000E-08,4.39453E-01,-1.60232E+00
-3.08000E-08,5.37109E-01,-1.59744E+00
-3.06000E-08,4.39453E-01,-1.60721E+00
-3.04000E-08,2.44141E-01,-1.62186E+00
-3.02000E-08,3.41797E-01,-1.62186E+00
-3.00000E-08,6.34766E-01,-1.61697E+00
-2.98000E-08,8.30078E-01,-1.61209E+00
-2.96000E-08,6.34766E-01,-1.61209E+00
-2.94000E-08,3.41797E-01,-1.60721E+00
-2.92000E-08,3.41797E-01,-1.60232E+00
-2.90000E-08,6.34766E-01,-1.60721E+00
-2.88000E-08,7.32422E-01,-1.61209E+00
-2.86000E-08,5.37109E-01,-1.60721E+00
-2.84000E-08,3.41797E-01,-1.59256E+00
-2.82000E-08,4.39453E-01,-1.58768E+00
-2.80000E-08,7.32422E-01,-1.59744E+00
-2.78000E-08,7.32422E-01,-1.60721E+00
-2.76000E-08,4.39453E-01,-1.61209E+00
-2.74000E-08,2.44141E-01,-1.60721E+00
-2.72000E-08,3.41797E-01,-1.60232E+00
-2.70000E-08,5.37109E-01,-1.60232E+00
-2.68000E-08,6.34766E-01,-1.60721E+00
-2.66000E-08,5.37109E-01,-1.61209E+00
-2.64000E-08,5.37109E-01,-1.61209E+00
-2.62000E-08,7.32422E-01,-1.60721E+00
-2.60000E-08,8.30078E-01,-1.60232E+00
-2.58000E-08,7.32422E-01,-1.60232E+00
-2.56000E-08,5.37109E-01,-1.59744E+00
-2.54000E-08,4.39453E-01,-1.58768E+00
-2.52000E-08,6.34766E-01,-1.58768E+00
-2.50000E-08,8.30078E-01,-1.59744E+00
-2.48000E-08,7.32422E-01,-1.60721E+00
-2.46000E-08,4.39453E-01,-1.61209E+00
-2.44000E-08,1.46484E-01,-1.61209E+00
-2.42000E-08,1.46484E-01,-1.61209E+00
-2.40000E-08,3.41797E-01,-1.60721E+00
-2.38000E-08,4.39453E-01,-1.60232E+00
-2.36000E-08,5.37109E-01,-1.59744E+00
-2.34000E-08,5.37109E-01,-1.60721E+00
-2.32000E-08,4.39453E-01,-1.61697E+00
-2.30000E-08,2.44141E-01,-1.62186E+00
-2.28000E-08,1.46484E-01,-1.61209E+00
-2.26000E-08,3.41797E-01,-1.60232E+00
-2.24000E-08,5.37109E-01,-1.60232E+00
-2.22000E-08,5.37109E-01,-1.61209E+00
-2.20000E-08,4.39453E-01,-1.61697E+00
-2.18000E-08,5.37109E-01,-1.61697E+00
-2.16000E-08,7.32422E-01,-1.61697E+00
-2.14000E-08,8.30078E-01,-1.61697E+00
-2.12000E-08,6.34766E-01,-1.61209E+00
-2.10000E-08,4.39453E-01,-1.60232E+00
-2.08000E-08,3.41797E-01,-1.59256E+00
-2.06000E-08,4.39453E-01,-1.58768E+00
-2.04000E-08,5.37109E-01,-1.58768E+00
-2.02000E-08,5.37109E-01,-1.59256E+00
-2.00000E-08,4.39453E-01,-1.60232E+00
-1.98000E-08,4.39453E-01,-1.61209E+00
-1.96000E-08,5.37109E-01,-1.61697E+00
-1.94000E-08,5.37109E-01,-1.60721E+00
-1.92000E-08,4.39453E-01,-1.59256E+00
-1.90000E-08,4.39453E-01,-1.58768E+00
-1.88000E-08,4.39453E-01,-1.59744E+00
-1.86000E-08,4.39453E-01,-1.61209E+00
-1.84000E-08,4.39453E-01,-1.61697E+00
-1.82000E-08,4.39453E-01,-1.60721E+00
-1.80000E-08,4.39453E-01,-1.59744E+00
-1.78000E-08,4.39453E-01,-1.60721E+00
-1.76000E-08,4.39453E-01,-1.61697E+00
-1.74000E-08,5.37109E-01,-1.62186E+00
-1.72000E-08,6.34766E-01,-1.61697E+00
-1.70000E-08,6.34766E-01,-1.62186E+00
-1.68000E-08,4.39453E-01,-1.62674E+00
-1.66000E-08,2.44141E-01,-1.62674E+00
-1.64000E-08,1.46484E-01,-1.61697E+00
-1.62000E-08,1.46484E-01,-1.60721E+00
-1.60000E-08,3.41797E-01,-1.60232E+00
-1.58000E-08,5.37109E-01,-1.59744E+00
-1.56000E-08,5.37109E-01,-1.59744E+00
-1.54000E-08,4.39453E-01,-1.59744E+00
-1.52000E-08,4.39453E-01,-1.60232E+00
-1.50000E-08,5.37109E-01,-1.60721E+00
-1.48000E-08,5.37109E-01,-1.60721E+00
-1.46000E-08,4.39453E-01,-1.60721E+00
-1.44000E-08,4.39453E-01,-1.60721E+00
-1.42000E-08,4.39453E-01,-1.60721E+00
-1.40000E-08,5.37109E-01,-1.60232E+00
-1.38000E-08,5.37109E-01,-1.59744E+00
-1.36000E-08,4.39453E-01,-1.60232E+00
-1.34000E-08,5.37109E-01,-1.60721E+00
-1.32000E-08,7.32422E-01,-1.60721E+00
-1.30000E-08,7.32422E-01,-1.60232E+00
-1.28000E-08,5.37109E-01,-1.60232E+00
-1.26000E-08,3.41797E-01,-1.61209E+00
-1.24000E-08,4.39453E-01,-1.61697E+00
-1.22000E-08,7.32422E-01,-1.60232E+00
-1.20000E-08,7.32422E-01,-1.58279E+00
-1.18000E-08,4.39453E-01,-1.58768E+00
-1.16000E-08,3.41797E-01,-1.61209E+00
-1.14000E-08,5.37109E-01,-1.62674E+00
-1.12000E-08,6.34766E-01,-1.61697E+00
-1.10000E-08,5.37109E-01,-1.60232E+00
-1.08000E-08,4.39453E-01,-1.59744E+00
-1.06000E-08,5.37109E-01,-1.60721E+00
-1.04000E-08,6.34766E-01,-1.61209E+00
-1.02000E-08,5.37109E-01,-1.60232E+00
-1.00000E-08,3.41797E-01,-1.59256E+00
-9.80000E-09,4.39453E-01,-1.59256E+00
-9.60000E-09,6.34766E-01,-1.59744E+00
-9.40000E-09,5.37109E-01,-1.59744E+00
-9.20000E-09,3.41797E-01,-1.59744E+00
-9.00000E-09,2.44141E-01,-1.59744E+00
-8.80000E-09,3.41797E-01,-1.59256E+00
-8.60000E-09,4.39453E-01,-1.58768E+00
-8.40000E-09,4.39453E-01,-1.58279E+00
-8.20000E-09,4.39453E-01,-1.58768E+00
-8.00000E-09,5.37109E-01,-1.59256E+00
-7.80000E-09,5.37109E-01,-1.59256E+00
-7.60000E-09,5.37109E-01,-1.58768E+00
-7.40000E-09,4.39453E-01,-1.58768E+00
-7.20000E-09,4.39453E-01,-1.59256E+00
-7.00000E-09,5.37109E-01,-1.60232E+00
-6.80000E-09,7.32422E-01,-1.60721E+00
-6.60000E-09,8.30078E-01,-1.59744E+00
-6.40000E-09,7.32422E-01,-1.58279E+00
-6.20000E-09,5.37109E-01,-1.57791E+00
-6.00000E-09,4.39453E-01,-1.59744E+00
-5.80000E-09,5.37109E-01,-1.61697E+00
-5.60000E-09,5.37109E-01,-1.61697E+00
-5.40000E-09,4.39453E-01,-1.59744E+00
-5.20000E-09,4.39453E-01,-1.59256E+00
-5.00000E-09,5.37109E-01,-1.60232E+00
-4.80000E-09,6.34766E-01,-1.61209E+00
-4.60000E-09,5.37109E-01,-1.60232E+00
-4.40000E-09,4.39453E-01,-1.59744E+00
-4.20000E-09,5.37109E-01,-1.60721E+00
-4.00000E-09,6.34766E-01,-1.61209E+00
-3.80000E-09,5.37109E-01,-1.59744E+00
-3.60000E-09,5.37109E-01,-1.58279E+00
-3.40000E-09,6.34766E-01,-1.58768E+00
-3.20000E-09,6.34766E-01,-1.60232E+00
-3.00000E-09,3.41797E-01,-1.61209E+00
-2.80000E-09,4.88281E-02,-1.60232E+00
-2.60000E-09,4.88281E-02,-1.59256E+00
-2.40000E-09,3.41797E-01,-1.59256E+00
-2.20000E-09,4.39453E-01,-1.59256E+00
-2.00000E-09,4.39453E-01,-1.59256E+00
-1.80000E-09,6.34766E-01,-1.59744E+00
-1.60000E-09,1.02539E+00,-1.60721E+00
-1.40000E-09,1.41602E+00,-1.61209E+00
-1.20000E-09,1.80664E+00,-1.60721E+00
-1.00000E-09,2.39258E+00,-1.59256E+00
-8.00000E-10,3.36914E+00,-1.58279E+00
-6.00000E-10,4.63867E+00,-1.58768E+00
-4.00000E-10,5.81055E+00,-1.60721E+00
-2.00000E-10,6.78711E+00,-1.62186E+00
1.56647E-22,7.66602E+00,-1.62186E+00
2.00000E-10,8.64258E+00,-1.60721E+00
4.00000E-10,9.42383E+00,-1.60721E+00
6.00000E-10,1.00098E+01,-1.61697E+00
8.00000E-10,1.05957E+01,-1.61697E+00
1.00000E-09,1.13770E+01,-1.60232E+00
1.20000E-09,1.21582E+01,-1.59744E+00
1.40000E-09,1.26465E+01,-1.61209E+00
1.60000E-09,1.29395E+01,-1.61697E+00
1.80000E-09,1.34277E+01,-1.60721E+00
2.00000E-09,1.40137E+01,-1.59256E+00
2.20000E-09,1.45020E+01,-1.60232E+00
2.40000E-09,1.47949E+01,-1.61697E+00
2.60000E-09,1.51855E+01,-1.61697E+00
2.80000E-09,1.53809E+01,-1.60232E+00
3.00000E-09,1.54785E+01,-1.60232E+00
3.20000E-09,1.53809E+01,-1.60232E+00
3.40000E-09,1.53809E+01,-1.59744E+00
3.60000E-09,1.54785E+01,-1.58279E+00
3.80000E-09,1.54785E+01,-1.57791E+00
