range of distance,number in the range
"(75243.6603502921,75244.56155323097)",3.0
"(75512.21882607458,75513.12002901344)",3.0
"(76621.59964382024,76622.50084675911)",3.0
"(76661.2525731304,76662.15377606927)",3.0
"(76676.57302309116,76677.47422603003)",3.0
"(76767.59451991675,76768.49572285562)",3.0
"(76783.81617281637,76784.71737575524)",3.0
"(76899.17014899138,76900.07135193025)",3.0
"(76924.40383127966,76925.30503421853)",3.0
"(76935.21826654607,76936.11946948494)",3.0
"(77100.13840435879,77101.03960729766)",3.0
"(77186.65388649006,77187.55508942892)",3.0
"(77240.7260628221,77241.62726576097)",3.0
"(77247.03448339416,77247.93568633303)",3.0
"(77885.08616411223,77885.9873670511)",3.0
"(78075.23998421324,78076.14118715211)",3.0
"(79022.4042729628,79023.30547590167)",3.0
"(79259.42064588491,79260.32184882378)",3.0
"(80339.96296958682,80340.86417252569)",3.0
"(80412.96040763508,80413.86161057395)",3.0
"(81188.89613799984,81189.7973409387)",3.0
"(81256.48635841488,81257.38756135375)",3.0
"(81293.43567890846,81294.33688184732)",3.0
"(81312.36094062467,81313.26214356354)",3.0
"(81355.61868169029,81356.51988462916)",3.0
"(81383.55597279518,81384.45717573405)",3.0
"(81434.02333737175,81434.92454031062)",3.0
"(81549.37731354678,81550.27851648563)",3.0
"(82023.41005939098,82024.31126232985)",3.0
"(82185.6265883871,82186.52779132596)",3.0
"(82950.74788348546,82951.64908642432)",3.0
"(83158.92576236381,83159.82696530268)",3.0
"(84062.83231004774,84063.7335129866)",3.0
"(84097.97922466356,84098.88042760243)",3.0
"(85665.17113535384,85666.07233829271)",3.0
"(85667.87474417043,85668.7759471093)",3.0
"(85776.01909683451,85776.92029977338)",3.0
"(85821.98044671676,85822.88164965562)",3.0
"(85859.83097014918,85860.73217308805)",3.0
"(85951.75366991364,85952.65487285251)",3.0
"(86272.58191615042,86273.48311908929)",3.0
"(86408.66355991938,86409.56476285825)",3.0
"(87008.86471720501,87009.76592014388)",3.0
"(87190.00650791735,87190.90771085622)",3.0
"(87931.69652660516,87932.59772954402)",6.0
"(90073.85591229278,90074.75711523165)",3.0
"(90101.79320339767,90102.69440633654)",3.0
"(90364.04325860806,90364.94446154693)",3.0
"(90434.33708783971,90435.23829077858)",3.0
"(90616.38008149092,90617.28128442977)",3.0
"(90729.9316517882,90730.83285472706)",3.0
"(91179.63191828299,91180.53312122186)",3.0
"(91335.54002670704,91336.4412296459)",3.0
"(91896.08825468252,91896.98945762138)",3.0
"(91928.53156048173,91929.4327634206)",3.0
"(94589.78383895694,94590.6850418958)",3.0
"(94642.05360941125,94642.95481235012)",3.0
"(95043.0889172072,95043.99012014607)",3.0
