Grouptype,GroupIndex,Group Section,Pad Label,Pad X center,Pad Y center,Pixel Row,Pixel Column,Pixel Ring,Pixel Section,Pixel X center,Pixel Y center,Raw angle,Actual angle,Signal description
RowPad,0,C,T01+,30666.158,-57404.248,0,1,0,C,1120.022,-7239.935,0.0,-2.0943951023931953,NC
RowPad,0,C,T01-,30736.158,-56984.248,0,1,0,C,1120.022,-7239.935,0.0,-2.0943951023931953,NC
RowPad,0,C,B02+,30526.158,-57404.248,0,2,0,C,3770.022,-11829.869,0.0,-2.0943951023931953,NC
RowPad,0,C,B02-,30596.158,-56984.248,0,2,0,C,3770.022,-11829.869,0.0,-2.0943951023931953,NC
RowPad,0,C,T02+,30386.158,-57404.248,0,2,0,C,3770.022,-11829.869,0.0,-2.0943951023931953,NC
RowPad,0,C,T02-,30456.158,-56984.248,0,2,0,C,3770.022,-11829.869,0.0,-2.0943951023931953,NC
RowPad,0,C,B03+,30246.158,-57404.248,0,3,0,C,6420.022,-16419.804,0.0,-2.0943951023931953,NC
RowPad,0,C,B03-,30316.158,-56984.248,0,3,0,C,6420.022,-16419.804,0.0,-2.0943951023931953,NC
RowPad,0,C,T03+,30106.158,-57404.248,0,3,0,C,6420.022,-16419.804,0.0,-2.0943951023931953,NC
RowPad,0,C,T03-,30176.158,-56984.248,0,3,0,C,6420.022,-16419.804,0.0,-2.0943951023931953,NC
RowPad,0,C,B04+,29966.158,-57404.248,0,4,0,C,9070.022,-21009.739,0.0,-2.0943951023931953,NC
RowPad,0,C,B04-,30036.158,-56984.248,0,4,0,C,9070.022,-21009.739,0.0,-2.0943951023931953,NC
RowPad,0,C,T04+,29826.158,-57404.248,0,4,0,C,9070.022,-21009.739,0.0,-2.0943951023931953,NC
RowPad,0,C,T04-,29896.158,-56984.248,0,4,0,C,9070.022,-21009.739,0.0,-2.0943951023931953,NC
RowPad,0,C,B05+,29686.158,-57404.248,0,5,0,C,11720.022,-25599.673,0.0,-2.0943951023931953,NC
RowPad,0,C,B05-,29756.158,-56984.248,0,5,0,C,11720.022,-25599.673,0.0,-2.0943951023931953,NC
RowPad,0,C,T05+,29546.158,-57404.248,0,5,0,C,11720.022,-25599.673,0.0,-2.0943951023931953,NC
RowPad,0,C,T05-,29616.158,-56984.248,0,5,0,C,11720.022,-25599.673,0.0,-2.0943951023931953,NC
RowPad,0,C,B06+,29406.158,-57404.248,0,6,0,C,14370.022,-30189.608,0.0,-2.0943951023931953,NC
RowPad,0,C,B06-,29476.158,-56984.248,0,6,0,C,14370.022,-30189.608,0.0,-2.0943951023931953,NC
RowPad,0,C,T06+,29266.158,-57404.248,0,6,0,C,14370.022,-30189.608,0.0,-2.0943951023931953,NC
RowPad,0,C,T06-,29336.158,-56984.248,0,6,0,C,14370.022,-30189.608,0.0,-2.0943951023931953,NC
RowPad,0,C,B07+,29126.158,-57404.248,0,7,0,C,17020.022,-34779.542,0.0,-2.0943951023931953,NC
RowPad,0,C,B07-,29196.158,-56984.248,0,7,0,C,17020.022,-34779.542,0.0,-2.0943951023931953,NC
RowPad,0,C,T07+,28986.158,-57404.248,0,7,0,C,17020.022,-34779.542,0.0,-2.0943951023931953,NC
RowPad,0,C,T07-,29056.158,-56984.248,0,7,0,C,17020.022,-34779.542,0.0,-2.0943951023931953,NC
RowPad,0,C,B08+,28846.158,-57404.248,0,8,0,C,19670.022,-39369.477,0.0,-2.0943951023931953,NC
RowPad,0,C,B08-,28916.158,-56984.248,0,8,0,C,19670.022,-39369.477,0.0,-2.0943951023931953,NC
RowPad,0,C,T08+,28706.158,-57404.248,0,8,0,C,19670.022,-39369.477,0.0,-2.0943951023931953,NC
