in s,C1 in V,C4 in V
-1.060E-07,5.37109E-01,-2.01248E+00
-1.056E-07,5.37109E-01,-2.03689E+00
-1.052E-07,6.34766E-01,-2.00760E+00
-1.048E-07,1.46484E-01,-2.03201E+00
-1.044E-07,4.39453E-01,-2.02713E+00
-1.040E-07,5.37109E-01,-2.02225E+00
-1.036E-07,7.32422E-01,-2.02713E+00
-1.032E-07,5.37109E-01,-2.04666E+00
-1.028E-07,3.41797E-01,-2.01248E+00
-1.024E-07,5.37109E-01,-1.99783E+00
-1.020E-07,6.34766E-01,-2.01736E+00
-1.016E-07,7.32422E-01,-2.03201E+00
-1.012E-07,6.34766E-01,-2.03689E+00
-1.008E-07,7.32422E-01,-2.02225E+00
-1.004E-07,7.32422E-01,-2.00760E+00
-1.000E-07,4.39453E-01,-2.02713E+00
-9.960E-08,4.39453E-01,-2.02225E+00
-9.920E-08,3.41797E-01,-2.02225E+00
-9.880E-08,6.34766E-01,-2.01736E+00
-9.840E-08,7.32422E-01,-2.01248E+00
-9.800E-08,3.41797E-01,-2.02225E+00
-9.760E-08,7.32422E-01,-2.02713E+00
-9.720E-08,7.32422E-01,-2.03201E+00
-9.680E-08,7.32422E-01,-2.02713E+00
-9.640E-08,2.44141E-01,-2.04666E+00
-9.600E-08,4.39453E-01,-2.02713E+00
-9.560E-08,5.37109E-01,-2.01736E+00
-9.520E-08,4.39453E-01,-2.03201E+00
-9.480E-08,3.41797E-01,-2.02225E+00
-9.440E-08,5.37109E-01,-2.01248E+00
-9.400E-08,9.27734E-01,-2.02713E+00
-9.360E-08,6.34766E-01,-2.02713E+00
-9.320E-08,6.34766E-01,-2.02713E+00
-9.280E-08,4.39453E-01,-2.02713E+00
-9.240E-08,7.32422E-01,-2.02713E+00
-9.200E-08,5.37109E-01,-2.04666E+00
-9.160E-08,4.39453E-01,-2.01248E+00
-9.120E-08,7.32422E-01,-2.01248E+00
-9.080E-08,6.34766E-01,-2.03689E+00
-9.040E-08,7.32422E-01,-2.03201E+00
-9.000E-08,5.37109E-01,-2.04178E+00
-8.960E-08,3.41797E-01,-2.00760E+00
-8.920E-08,3.41797E-01,-2.03201E+00
-8.880E-08,7.32422E-01,-2.02225E+00
-8.840E-08,5.37109E-01,-2.01248E+00
-8.800E-08,5.37109E-01,-2.01736E+00
-8.760E-08,7.32422E-01,-2.02713E+00
-8.720E-08,4.39453E-01,-2.01248E+00
-8.680E-08,7.32422E-01,-2.03201E+00
-8.640E-08,9.27734E-01,-2.03689E+00
-8.600E-08,3.41797E-01,-2.03201E+00
-8.560E-08,4.39453E-01,-2.03201E+00
-8.520E-08,4.39453E-01,-2.00271E+00
-8.480E-08,6.34766E-01,-2.02713E+00
-8.440E-08,5.37109E-01,-2.02225E+00
-8.400E-08,7.32422E-01,-2.01248E+00
-8.360E-08,7.32422E-01,-2.02713E+00
-8.320E-08,6.34766E-01,-2.04178E+00
-8.280E-08,4.39453E-01,-2.03201E+00
-8.240E-08,5.37109E-01,-1.99295E+00
-8.200E-08,7.32422E-01,-2.02713E+00
-8.160E-08,6.34766E-01,-2.02225E+00
-8.120E-08,7.32422E-01,-2.01736E+00
-8.080E-08,7.32422E-01,-2.01248E+00
-8.040E-08,5.37109E-01,-2.02713E+00
-8.000E-08,4.39453E-01,-2.04178E+00
-7.960E-08,4.39453E-01,-2.02713E+00
-7.920E-08,6.34766E-01,-2.02713E+00
-7.880E-08,9.27734E-01,-2.01736E+00
-7.840E-08,6.34766E-01,-2.02713E+00
-7.800E-08,7.32422E-01,-2.02713E+00
-7.760E-08,9.27734E-01,-2.00271E+00
-7.720E-08,6.34766E-01,-2.03201E+00
-7.680E-08,3.41797E-01,-2.02225E+00
-7.640E-08,4.39453E-01,-2.02225E+00
-7.600E-08,4.39453E-01,-2.03201E+00
-7.560E-08,6.34766E-01,-2.04178E+00
-7.520E-08,7.32422E-01,-2.02225E+00
-7.480E-08,9.27734E-01,-2.01248E+00
-7.440E-08,3.41797E-01,-2.01248E+00
-7.400E-08,5.37109E-01,-2.01736E+00
-7.360E-08,9.27734E-01,-2.03689E+00
-7.320E-08,6.34766E-01,-2.01736E+00
-7.280E-08,7.32422E-01,-2.03689E+00
-7.240E-08,6.34766E-01,-2.03201E+00
-7.200E-08,5.37109E-01,-2.00760E+00
-7.160E-08,7.32422E-01,-2.02225E+00
-7.120E-08,3.41797E-01,-2.02713E+00
-7.080E-08,3.41797E-01,-2.03689E+00
-7.040E-08,7.32422E-01,-2.03689E+00
-7.000E-08,3.41797E-01,-2.03201E+00
-6.960E-08,8.30078E-01,-2.00271E+00
-6.920E-08,5.37109E-01,-2.00760E+00
-6.880E-08,4.39453E-01,-2.01736E+00
-6.840E-08,9.27734E-01,-2.02713E+00
-6.800E-08,4.39453E-01,-2.03201E+00
-6.760E-08,2.44141E-01,-2.01736E+00
-6.720E-08,9.27734E-01,-2.04666E+00
-6.680E-08,7.32422E-01,-2.00760E+00
-6.640E-08,9.27734E-01,-2.03201E+00
-6.600E-08,2.44141E-01,-2.02713E+00
-6.560E-08,7.32422E-01,-2.02713E+00
-6.520E-08,6.34766E-01,-2.03689E+00
-6.480E-08,6.34766E-01,-2.01736E+00
-6.440E-08,3.41797E-01,-2.00271E+00
-6.400E-08,6.34766E-01,-2.03201E+00
-6.360E-08,3.41797E-01,-2.03201E+00
-6.320E-08,4.39453E-01,-2.01248E+00
-6.280E-08,6.34766E-01,-2.02713E+00
-6.240E-08,4.39453E-01,-2.00271E+00
-6.200E-08,7.32422E-01,-2.00760E+00
-6.160E-08,1.02539E+00,-2.00760E+00
-6.120E-08,4.39453E-01,-2.01736E+00
-6.080E-08,6.34766E-01,-2.00760E+00
