Grouptype,GroupIndex,Group Section,Pad Label,Pixel X center,Pixel Y center,Pad X center,Pad Y center
RowPad,4,A,B06-,-22729.978,21009.739,-53677.886,20995.671
RowPad,4,A,T08+,-33329.978,21009.739,-53656.616,21872.511
RowPad,4,A,T06-,-22729.978,21009.739,-53607.886,21116.915
RowPad,4,A,B09+,-38629.978,21009.739,-53586.616,21993.754
RowPad,4,A,B07-,-28029.978,21009.739,-53537.886,21238.158
RowPad,4,A,T09+,-38629.978,21009.739,-53516.616,22114.998
RowPad,4,A,T07-,-28029.978,21009.739,-53467.886,21359.402
RowPad,4,A,B10+,-43929.978,21009.739,-53446.616,22236.241
RowPad,4,A,B08-,-33329.978,21009.739,-53397.886,21480.645
RowPad,4,A,T10+,-43929.978,21009.739,-53376.616,22357.485
RowPad,4,A,T08-,-33329.978,21009.739,-53327.886,21601.889
RowPad,4,A,B11+,-49229.978,21009.739,-53306.616,22478.729
RowPad,4,A,B09-,-38629.978,21009.739,-53257.886,21723.133
RowPad,4,A,T11+,-49229.978,21009.739,-53236.616,22599.972
RowPad,4,A,T09-,-38629.978,21009.739,-53187.886,21844.376
RowPad,4,A,B10-,-43929.978,21009.739,-53117.886,21965.62
RowPad,4,A,T10-,-43929.978,21009.739,-53047.886,22086.863
RowPad,4,A,B11-,-49229.978,21009.739,-52977.886,22208.107
RowPad,4,A,T11-,-49229.978,21009.739,-52907.886,22329.35
RowPad,5,A,X00+,11720.022,25599.673,-52266.616,24280.061
RowPad,5,A,B00+,11720.022,25599.673,-52196.616,24401.305
RowPad,5,A,T00+,11720.022,25599.673,-52126.616,24522.549
RowPad,5,A,B01+,6420.022,25599.673,-52056.616,24643.792
RowPad,5,A,T01+,6420.022,25599.673,-51986.616,24765.036
RowPad,5,A,X00-,11720.022,25599.673,-51937.886,24009.44
RowPad,5,A,B02+,1120.022,25599.673,-51916.616,24886.279
RowPad,5,A,B00-,11720.022,25599.673,-51867.886,24130.683
RowPad,5,A,T02+,1120.022,25599.673,-51846.616,25007.523
RowPad,5,A,T00-,11720.022,25599.673,-51797.886,24251.927
RowPad,5,A,B03+,-4179.978,25599.673,-51776.616,25128.766
RowPad,5,A,B01-,6420.022,25599.673,-51727.886,24373.17
RowPad,5,A,T03+,-4179.978,25599.673,-51706.616,25250.01
RowPad,5,A,T01-,6420.022,25599.673,-51657.886,24494.414
RowPad,5,A,B04+,-9479.978,25599.673,-51636.616,25371.253
RowPad,5,A,B02-,1120.022,25599.673,-51587.886,24615.657
RowPad,5,A,T04+,-9479.978,25599.673,-51566.616,25492.497
RowPad,5,A,T02-,1120.022,25599.673,-51517.886,24736.901
RowPad,5,A,B05+,-14779.978,25599.673,-51496.616,25613.741
RowPad,5,A,B03-,-4179.978,25599.673,-51447.886,24858.145
RowPad,5,A,T05+,-14779.978,25599.673,-51426.616,25734.984
RowPad,5,A,T03-,-4179.978,25599.673,-51377.886,24979.388
RowPad,5,A,B06+,-20079.978,25599.673,-51356.616,25856.228
RowPad,5,A,B04-,-9479.978,25599.673,-51307.886,25100.632
RowPad,5,A,T06+,-20079.978,25599.673,-51286.616,25977.471
RowPad,5,A,T04-,-9479.978,25599.673,-51237.886,25221.875
RowPad,5,A,B07+,-25379.978,25599.673,-51216.616,26098.715
RowPad,5,A,B05-,-14779.978,25599.673,-51167.886,25343.119
RowPad,5,A,T07+,-25379.978,25599.673,-51146.616,26219.958
RowPad,5,A,T05-,-14779.978,25599.673,-51097.886,25464.362
RowPad,5,A,B08+,-30679.978,25599.673,-51076.616,26341.202
RowPad,5,A,B06-,-20079.978,25599.673,-51027.886,25585.606
RowPad,5,A,T08+,-30679.978,25599.673,-51006.616,26462.445
RowPad,5,A,T06-,-20079.978,25599.673,-50957.886,25706.849
RowPad,5,A,B09+,-35979.978,25599.673,-50936.616,26583.689
RowPad,5,A,B07-,-25379.978,25599.673,-50887.886,25828.093
RowPad,5,A,T09+,-35979.978,25599.673,-50866.616,26704.933
RowPad,5,A,T07-,-25379.978,25599.673,-50817.886,25949.337
RowPad,5,A,B10+,-41279.978,25599.673,-50796.616,26826.176
RowPad,5,A,B08-,-30679.978,25599.673,-50747.886,26070.58
RowPad,5,A,T10+,-41279.978,25599.673,-50726.616,26947.42
RowPad,5,A,T08-,-30679.978,25599.673,-50677.886,26191.824
RowPad,5,A,B11+,-46579.978,25599.673,-50656.616,27068.663
RowPad,5,A,B09-,-35979.978,25599.673,-50607.886,26313.067
RowPad,5,A,T11+,-46579.978,25599.673,-50586.616,27189.907
RowPad,5,A,T09-,-35979.978,25599.673,-50537.886,26434.311
RowPad,5,A,B10-,-41279.978,25599.673,-50467.886,26555.554
RowPad,5,A,T10-,-41279.978,25599.673,-50397.886,26676.798
RowPad,5,A,B11-,-46579.978,25599.673,-50327.886,26798.041
RowPad,5,A,T11-,-46579.978,25599.673,-50257.886,26919.285
RowPad,6,A,X00+,14370.022,30189.608,-49616.616,28869.996
RowPad,6,A,B00+,14370.022,30189.608,-49546.616,28991.24
RowPad,6,A,T00+,14370.022,30189.608,-49476.616,29112.483
RowPad,6,A,B01+,9070.022,30189.608,-49406.616,29233.727
RowPad,6,A,T01+,9070.022,30189.608,-49336.616,29354.97
RowPad,6,A,X00-,14370.022,30189.608,-49287.886,28599.374
RowPad,6,A,B02+,3770.022,30189.608,-49266.616,29476.214
RowPad,6,A,B00-,14370.022,30189.608,-49217.886,28720.618
RowPad,6,A,T02+,3770.022,30189.608,-49196.616,29597.457
RowPad,6,A,T00-,14370.022,30189.608,-49147.886,28841.861
RowPad,6,A,B03+,-1529.978,30189.608,-49126.616,29718.701
RowPad,6,A,B01-,9070.022,30189.608,-49077.886,28963.105
RowPad,6,A,T03+,-1529.978,30189.608,-49056.616,29839.945
RowPad,6,A,T01-,9070.022,30189.608,-49007.886,29084.348
RowPad,6,A,B04+,-6829.978,30189.608,-48986.616,29961.188
RowPad,6,A,B02-,3770.022,30189.608,-48937.886,29205.592
RowPad,6,A,T04+,-6829.978,30189.608,-48916.616,30082.432
RowPad,6,A,T02-,3770.022,30189.608,-48867.886,29326.836
RowPad,6,A,B05+,-12129.978,30189.608,-48846.616,30203.675
RowPad,6,A,B03-,-1529.978,30189.608,-48797.886,29448.079
RowPad,6,A,T05+,-12129.978,30189.608,-48776.616,30324.919
RowPad,6,A,T03-,-1529.978,30189.608,-48727.886,29569.323
RowPad,6,A,B06+,-17429.978,30189.608,-48706.616,30446.162
RowPad,6,A,B04-,-6829.978,30189.608,-48657.886,29690.566
RowPad,6,A,T06+,-17429.978,30189.608,-48636.616,30567.406
RowPad,6,A,T04-,-6829.978,30189.608,-48587.886,29811.81
RowPad,6,A,B07+,-22729.978,30189.608,-48566.616,30688.649
RowPad,6,A,B05-,-12129.978,30189.608,-48517.886,29933.053
RowPad,6,A,T07+,-22729.978,30189.608,-48496.616,30809.893
RowPad,6,A,T05-,-12129.978,30189.608,-48447.886,30054.297
RowPad,6,A,B08+,-28029.978,30189.608,-48426.616,30931.137
RowPad,6,A,B06-,-17429.978,30189.608,-48377.886,30175.541
RowPad,6,A,T08+,-28029.978,30189.608,-48356.616,31052.38
RowPad,6,A,T06-,-17429.978,30189.608,-48307.886,30296.784
RowPad,6,A,B09+,-33329.978,30189.608,-48286.616,31173.624
RowPad,6,A,B07-,-22729.978,30189.608,-48237.886,30418.028
RowPad,6,A,T09+,-33329.978,30189.608,-48216.616,31294.867
RowPad,6,A,T07-,-22729.978,30189.608,-48167.886,30539.271
RowPad,6,A,B10+,-38629.978,30189.608,-48146.616,31416.111
RowPad,6,A,B08-,-28029.978,30189.608,-48097.886,30660.515
RowPad,6,A,T10+,-38629.978,30189.608,-48076.616,31537.354
RowPad,6,A,T08-,-28029.978,30189.608,-48027.886,30781.758
RowPad,6,A,B11+,-43929.978,30189.608,-48006.616,31658.598
RowPad,6,A,B09-,-33329.978,30189.608,-47957.886,30903.002
RowPad,6,A,T11+,-43929.978,30189.608,-47936.616,31779.841
RowPad,6,A,T09-,-33329.978,30189.608,-47887.886,31024.245
RowPad,6,A,B10-,-38629.978,30189.608,-47817.886,31145.489
RowPad,6,A,T10-,-38629.978,30189.608,-47747.886,31266.733
RowPad,6,A,B11-,-43929.978,30189.608,-47677.886,31387.976
RowPad,6,A,T11-,-43929.978,30189.608,-47607.886,31509.22
RowPad,7,A,X00+,17020.022,34779.542,-46966.616,33459.931
RowPad,7,A,B00+,17020.022,34779.542,-46896.616,33581.174
RowPad,7,A,T00+,17020.022,34779.542,-46826.616,33702.418
RowPad,7,A,B01+,11720.022,34779.542,-46756.616,33823.661
RowPad,7,A,T01+,11720.022,34779.542,-46686.616,33944.905
RowPad,7,A,X00-,17020.022,34779.542,-46637.886,33189.309
RowPad,7,A,B02+,6420.022,34779.542,-46616.616,34066.148
RowPad,7,A,B00-,17020.022,34779.542,-46567.886,33310.552
RowPad,7,A,T02+,6420.022,34779.542,-46546.616,34187.392
RowPad,7,A,T00-,17020.022,34779.542,-46497.886,33431.796
RowPad,7,A,B03+,1120.022,34779.542,-46476.616,34308.636
RowPad,7,A,B01-,11720.022,34779.542,-46427.886,33553.04
RowPad,7,A,T03+,1120.022,34779.542,-46406.616,34429.879
RowPad,7,A,T01-,11720.022,34779.542,-46357.886,33674.283
RowPad,7,A,B04+,-4179.978,34779.542,-46336.616,34551.123
RowPad,7,A,B02-,6420.022,34779.542,-46287.886,33795.527
RowPad,7,A,T04+,-4179.978,34779.542,-46266.616,34672.366
RowPad,7,A,T02-,6420.022,34779.542,-46217.886,33916.77
RowPad,7,A,B05+,-9479.978,34779.542,-46196.616,34793.61
RowPad,7,A,B03-,1120.022,34779.542,-46147.886,34038.014
RowPad,7,A,T05+,-9479.978,34779.542,-46126.616,34914.853
RowPad,7,A,T03-,1120.022,34779.542,-46077.886,34159.257
RowPad,7,A,B06+,-14779.978,34779.542,-46056.616,35036.097
RowPad,7,A,B04-,-4179.978,34779.542,-46007.886,34280.501
RowPad,7,A,T06+,-14779.978,34779.542,-45986.616,35157.34
RowPad,7,A,T04-,-4179.978,34779.542,-45937.886,34401.744
RowPad,7,A,B07+,-20079.978,34779.542,-45916.616,35278.584
RowPad,7,A,B05-,-9479.978,34779.542,-45867.886,34522.988
RowPad,7,A,T07+,-20079.978,34779.542,-45846.616,35399.828
RowPad,7,A,T05-,-9479.978,34779.542,-45797.886,34644.232
RowPad,7,A,B08+,-25379.978,34779.542,-45776.616,35521.071
RowPad,7,A,B06-,-14779.978,34779.542,-45727.886,34765.475
RowPad,7,A,T08+,-25379.978,34779.542,-45706.616,35642.315
RowPad,7,A,T06-,-14779.978,34779.542,-45657.886,34886.719
RowPad,7,A,B09+,-30679.978,34779.542,-45636.616,35763.558
RowPad,7,A,B07-,-20079.978,34779.542,-45587.886,35007.962
RowPad,7,A,T09+,-30679.978,34779.542,-45566.616,35884.802
RowPad,7,A,T07-,-20079.978,34779.542,-45517.886,35129.206
RowPad,7,A,B10+,-35979.978,34779.542,-45496.616,36006.045
RowPad,7,A,B08-,-25379.978,34779.542,-45447.886,35250.449
RowPad,7,A,T10+,-35979.978,34779.542,-45426.616,36127.289
RowPad,7,A,T08-,-25379.978,34779.542,-45377.886,35371.693
RowPad,7,A,B11+,-41279.978,34779.542,-45356.616,36248.532
RowPad,7,A,B09-,-30679.978,34779.542,-45307.886,35492.936
RowPad,7,A,T11+,-41279.978,34779.542,-45286.616,36369.776
RowPad,7,A,T09-,-30679.978,34779.542,-45237.886,35614.18
RowPad,7,A,B10-,-35979.978,34779.542,-45167.886,35735.424
