Group Section,Pad X center,Pad Y center,Pixel X center,Pixel Y center
A,-35687.886,52155.265,17020.022,53139.281
A,-35666.616,53032.105,6420.022,53139.281
A,-35617.886,52276.509,17020.022,53139.281
A,-35596.616,53153.348,1120.022,53139.281
A,-35547.886,52397.752,11720.022,53139.281
A,-35526.616,53274.592,1120.022,53139.281
A,-35477.886,52518.996,11720.022,53139.281
A,-35456.616,53395.835,-4179.978,53139.281
A,-35407.886,52640.239,6420.022,53139.281
A,-35386.616,53517.079,-4179.978,53139.281
A,-35337.886,52761.483,6420.022,53139.281
A,-35316.616,53638.323,-9479.978,53139.281
A,-35267.886,52882.727,1120.022,53139.281
A,-35246.616,53759.566,-9479.978,53139.281
A,-35197.886,53003.97,1120.022,53139.281
A,-35176.616,53880.81,-14779.978,53139.281
A,-35127.886,53125.214,-4179.978,53139.281
A,-35106.616,54002.053,-14779.978,53139.281
A,-35057.886,53246.457,-4179.978,53139.281
A,-35036.616,54123.297,-20079.978,53139.281
A,-34987.886,53367.701,-9479.978,53139.281
