in s,C1 in V,C4 in V
-1.82000E-08,4.39453E-01,-1.23611E+00
-1.80000E-08,7.32422E-01,-1.22635E+00
-1.78000E-08,8.30078E-01,-1.21170E+00
-1.76000E-08,6.34766E-01,-1.22146E+00
-1.74000E-08,3.41797E-01,-1.24100E+00
-1.72000E-08,3.41797E-01,-1.25076E+00
-1.70000E-08,5.37109E-01,-1.24100E+00
-1.68000E-08,7.32422E-01,-1.22635E+00
-1.66000E-08,7.32422E-01,-1.22146E+00
-1.64000E-08,5.37109E-01,-1.22635E+00
-1.62000E-08,4.39453E-01,-1.22635E+00
-1.60000E-08,4.39453E-01,-1.22635E+00
-1.58000E-08,4.39453E-01,-1.22635E+00
-1.56000E-08,4.39453E-01,-1.23123E+00
-1.54000E-08,4.39453E-01,-1.23611E+00
-1.52000E-08,4.39453E-01,-1.23611E+00
-1.50000E-08,4.39453E-01,-1.23611E+00
-1.48000E-08,5.37109E-01,-1.23123E+00
-1.46000E-08,6.34766E-01,-1.22635E+00
-1.44000E-08,6.34766E-01,-1.22146E+00
-1.42000E-08,6.34766E-01,-1.22635E+00
-1.40000E-08,5.37109E-01,-1.23123E+00
-1.38000E-08,4.39453E-01,-1.23611E+00
-1.36000E-08,3.41797E-01,-1.23123E+00
-1.34000E-08,3.41797E-01,-1.22635E+00
-1.32000E-08,4.39453E-01,-1.22635E+00
-1.30000E-08,5.37109E-01,-1.22635E+00
-1.28000E-08,6.34766E-01,-1.22146E+00
-1.26000E-08,7.32422E-01,-1.22146E+00
-1.24000E-08,6.34766E-01,-1.22635E+00
-1.22000E-08,5.37109E-01,-1.22635E+00
-1.20000E-08,4.39453E-01,-1.22146E+00
-1.18000E-08,4.39453E-01,-1.22146E+00
-1.16000E-08,5.37109E-01,-1.22146E+00
-1.14000E-08,5.37109E-01,-1.21658E+00
-1.12000E-08,5.37109E-01,-1.20682E+00
-1.10000E-08,4.39453E-01,-1.21170E+00
-1.08000E-08,3.41797E-01,-1.22635E+00
-1.06000E-08,2.44141E-01,-1.23611E+00
-1.04000E-08,3.41797E-01,-1.22635E+00
-1.02000E-08,5.37109E-01,-1.22146E+00
-1.00000E-08,7.32422E-01,-1.23123E+00
-9.80000E-09,6.34766E-01,-1.24588E+00
-9.60000E-09,3.41797E-01,-1.24100E+00
-9.40000E-09,3.41797E-01,-1.23123E+00
-9.20000E-09,6.34766E-01,-1.23123E+00
-9.00000E-09,7.32422E-01,-1.23611E+00
-8.80000E-09,3.41797E-01,-1.23611E+00
-8.60000E-09,-4.88281E-02,-1.23123E+00
-8.40000E-09,-4.88281E-02,-1.22635E+00
-8.20000E-09,3.41797E-01,-1.22146E+00
-8.00000E-09,5.37109E-01,-1.21170E+00
-7.80000E-09,4.39453E-01,-1.21170E+00
-7.60000E-09,3.41797E-01,-1.22146E+00
-7.40000E-09,4.39453E-01,-1.22635E+00
-7.20000E-09,4.39453E-01,-1.21658E+00
-7.00000E-09,3.41797E-01,-1.20682E+00
-6.80000E-09,2.44141E-01,-1.21658E+00
-6.60000E-09,3.41797E-01,-1.22635E+00
-6.40000E-09,5.37109E-01,-1.22146E+00
-6.20000E-09,7.32422E-01,-1.21170E+00
-6.00000E-09,7.32422E-01,-1.21170E+00
-5.80000E-09,4.39453E-01,-1.22146E+00
-5.60000E-09,1.46484E-01,-1.22146E+00
-5.40000E-09,1.46484E-01,-1.22146E+00
-5.20000E-09,3.41797E-01,-1.22635E+00
-5.00000E-09,4.39453E-01,-1.23123E+00
-4.80000E-09,3.41797E-01,-1.23123E+00
-4.60000E-09,3.41797E-01,-1.23123E+00
-4.40000E-09,5.37109E-01,-1.23123E+00
-4.20000E-09,7.32422E-01,-1.23611E+00
-4.00000E-09,7.32422E-01,-1.23123E+00
-3.80000E-09,6.34766E-01,-1.22635E+00
-3.60000E-09,5.37109E-01,-1.22635E+00
-3.40000E-09,4.39453E-01,-1.22635E+00
-3.20000E-09,4.39453E-01,-1.23123E+00
-3.00000E-09,5.37109E-01,-1.23123E+00
-2.80000E-09,7.32422E-01,-1.23123E+00
-2.60000E-09,6.34766E-01,-1.23123E+00
-2.40000E-09,2.44141E-01,-1.22635E+00
-2.20000E-09,4.88281E-02,-1.22146E+00
-2.00000E-09,2.44141E-01,-1.22635E+00
-1.80000E-09,6.34766E-01,-1.23123E+00
-1.60000E-09,9.27734E-01,-1.22635E+00
-1.40000E-09,1.02539E+00,-1.21658E+00
-1.20000E-09,1.31836E+00,-1.21170E+00
-1.00000E-09,2.00195E+00,-1.22146E+00
-8.00000E-10,2.97852E+00,-1.23123E+00
-6.00000E-10,3.95508E+00,-1.22635E+00
-4.00000E-10,4.93164E+00,-1.22146E+00
-2.00000E-10,5.90820E+00,-1.22635E+00
1.56647E-22,6.98242E+00,-1.24100E+00
2.00000E-10,8.05664E+00,-1.24100E+00
4.00000E-10,8.93555E+00,-1.22635E+00
6.00000E-10,9.52148E+00,-1.20682E+00
8.00000E-10,1.01074E+01,-1.20682E+00
1.00000E-09,1.07910E+01,-1.21658E+00
1.20000E-09,1.15723E+01,-1.22146E+00
1.40000E-09,1.23535E+01,-1.21658E+00
1.60000E-09,1.28418E+01,-1.21658E+00
1.80000E-09,1.32324E+01,-1.22146E+00
2.00000E-09,1.35254E+01,-1.22635E+00
2.20000E-09,1.40137E+01,-1.22146E+00
2.40000E-09,1.45020E+01,-1.22146E+00
2.60000E-09,1.48926E+01,-1.22635E+00
2.80000E-09,1.50879E+01,-1.23123E+00
3.00000E-09,1.51855E+01,-1.22635E+00
3.20000E-09,1.51855E+01,-1.21658E+00
3.40000E-09,1.51855E+01,-1.22146E+00
3.60000E-09,1.51855E+01,-1.23611E+00
3.80000E-09,1.53809E+01,-1.24100E+00
4.00000E-09,1.55762E+01,-1.22146E+00
4.20000E-09,1.56738E+01,-1.19217E+00
4.40000E-09,1.55762E+01,-1.18240E+00
4.60000E-09,1.53809E+01,-1.18729E+00
4.80000E-09,1.54785E+01,-1.18240E+00
5.00000E-09,1.56738E+01,-1.15311E+00
5.20000E-09,1.58691E+01,-1.11404E+00
5.40000E-09,1.57715E+01,-1.08963E+00
5.60000E-09,1.56738E+01,-1.07498E+00
5.80000E-09,1.57715E+01,-1.03592E+00
6.00000E-09,1.59668E+01,-9.72441E-01
6.20000E-09,1.61621E+01,-9.08965E-01
6.40000E-09,1.61621E+01,-8.69902E-01
6.60000E-09,1.60645E+01,-8.25957E-01
6.80000E-09,1.60645E+01,-7.62480E-01
7.00000E-09,1.61621E+01,-6.89238E-01
7.20000E-09,1.60645E+01,-6.30645E-01
7.40000E-09,1.59668E+01,-5.76934E-01
7.60000E-09,1.59668E+01,-5.13457E-01
7.80000E-09,1.61621E+01,-4.30449E-01
8.00000E-09,1.63574E+01,-3.52324E-01
8.20000E-09,1.63574E+01,-2.88848E-01
8.40000E-09,1.61621E+01,-2.20488E-01
8.60000E-09,1.59668E+01,-1.47246E-01
8.80000E-09,1.60645E+01,-6.91211E-02
9.00000E-09,1.61621E+01,-5.64453E-03
9.20000E-09,1.62598E+01,5.29492E-02
9.40000E-09,1.62598E+01,1.16426E-01
9.60000E-09,1.62598E+01,1.84785E-01
9.80000E-09,1.63574E+01,2.48262E-01
1.00000E-08,1.63574E+01,3.01973E-01
1.02000E-08,1.64551E+01,3.50801E-01
1.04000E-08,1.64551E+01,4.09395E-01
1.06000E-08,1.64551E+01,4.72871E-01
1.08000E-08,1.63574E+01,5.26582E-01
1.10000E-08,1.63574E+01,5.65645E-01
1.12000E-08,1.65527E+01,5.99824E-01
1.14000E-08,1.68457E+01,6.24238E-01
1.16000E-08,1.69434E+01,6.43770E-01
1.18000E-08,1.67480E+01,6.53535E-01
1.20000E-08,1.65527E+01,6.73066E-01
1.22000E-08,1.64551E+01,6.97480E-01
1.24000E-08,1.64551E+01,7.21895E-01
1.26000E-08,1.64551E+01,7.31660E-01
1.28000E-08,1.64551E+01,7.31660E-01
1.30000E-08,1.65527E+01,7.31660E-01
1.32000E-08,1.65527E+01,7.36543E-01
1.34000E-08,1.65527E+01,7.46309E-01
1.36000E-08,1.65527E+01,7.51191E-01
1.38000E-08,1.66504E+01,7.46309E-01
1.40000E-08,1.67480E+01,7.41426E-01
1.42000E-08,1.66504E+01,7.41426E-01
1.44000E-08,1.64551E+01,7.46309E-01
1.46000E-08,1.64551E+01,7.46309E-01
1.48000E-08,1.66504E+01,7.31660E-01
1.50000E-08,1.67480E+01,7.21895E-01
1.52000E-08,1.66504E+01,7.21895E-01
1.54000E-08,1.65527E+01,7.26777E-01
1.56000E-08,1.65527E+01,7.26777E-01
1.58000E-08,1.65527E+01,7.21895E-01
1.60000E-08,1.65527E+01,7.26777E-01
1.62000E-08,1.65527E+01,7.36543E-01
1.64000E-08,1.67480E+01,7.36543E-01
1.66000E-08,1.68457E+01,7.26777E-01
1.68000E-08,1.67480E+01,7.17012E-01
1.70000E-08,1.66504E+01,7.12129E-01
1.72000E-08,1.66504E+01,7.17012E-01
1.74000E-08,1.66504E+01,7.26777E-01
1.76000E-08,1.65527E+01,7.36543E-01
1.78000E-08,1.64551E+01,7.46309E-01
1.80000E-08,1.63574E+01,7.46309E-01
1.82000E-08,1.64551E+01,7.31660E-01
1.84000E-08,1.65527E+01,7.21895E-01
1.86000E-08,1.64551E+01,7.26777E-01
1.88000E-08,1.63574E+01,7.41426E-01
1.90000E-08,1.64551E+01,7.46309E-01
1.92000E-08,1.65527E+01,7.36543E-01
1.94000E-08,1.66504E+01,7.26777E-01
1.96000E-08,1.65527E+01,7.26777E-01
1.98000E-08,1.65527E+01,7.36543E-01
2.00000E-08,1.66504E+01,7.41426E-01
2.02000E-08,1.68457E+01,7.41426E-01
2.04000E-08,1.68457E+01,7.41426E-01
2.06000E-08,1.66504E+01,7.36543E-01
2.08000E-08,1.65527E+01,7.26777E-01
2.10000E-08,1.66504E+01,7.17012E-01
2.12000E-08,1.69434E+01,7.17012E-01
2.14000E-08,1.70410E+01,7.31660E-01
2.16000E-08,1.69434E+01,7.51191E-01
2.18000E-08,1.66504E+01,7.60957E-01
2.20000E-08,1.64551E+01,7.56074E-01
2.22000E-08,1.64551E+01,7.46309E-01
2.24000E-08,1.65527E+01,7.36543E-01
2.26000E-08,1.66504E+01,7.41426E-01
2.28000E-08,1.67480E+01,7.51191E-01
2.30000E-08,1.67480E+01,7.56074E-01
2.32000E-08,1.67480E+01,7.60957E-01
2.34000E-08,1.67480E+01,7.60957E-01
2.36000E-08,1.68457E+01,7.65840E-01
2.38000E-08,1.68457E+01,7.60957E-01
2.40000E-08,1.67480E+01,7.51191E-01
2.42000E-08,1.65527E+01,7.46309E-01
2.44000E-08,1.65527E+01,7.46309E-01
2.46000E-08,1.66504E+01,7.51191E-01
2.48000E-08,1.66504E+01,7.56074E-01
2.50000E-08,1.65527E+01,7.65840E-01
2.52000E-08,1.64551E+01,7.70723E-01
2.54000E-08,1.64551E+01,7.65840E-01
2.56000E-08,1.66504E+01,7.51191E-01
2.58000E-08,1.68457E+01,7.51191E-01
2.60000E-08,1.68457E+01,7.65840E-01
2.62000E-08,1.67480E+01,7.80488E-01
2.64000E-08,1.66504E+01,7.80488E-01
2.66000E-08,1.65527E+01,7.70723E-01
2.68000E-08,1.64551E+01,7.70723E-01
2.70000E-08,1.64551E+01,7.75605E-01
2.72000E-08,1.64551E+01,7.65840E-01
2.74000E-08,1.65527E+01,7.51191E-01
2.76000E-08,1.66504E+01,7.41426E-01
2.78000E-08,1.66504E+01,7.51191E-01
2.80000E-08,1.67480E+01,7.60957E-01
2.82000E-08,1.68457E+01,7.65840E-01
2.84000E-08,1.69434E+01,7.65840E-01
2.86000E-08,1.68457E+01,7.70723E-01
2.88000E-08,1.66504E+01,7.80488E-01
2.90000E-08,1.65527E+01,7.80488E-01
2.92000E-08,1.66504E+01,7.65840E-01
2.94000E-08,1.67480E+01,7.56074E-01
2.96000E-08,1.67480E+01,7.56074E-01
2.98000E-08,1.67480E+01,7.60957E-01
3.00000E-08,1.68457E+01,7.60957E-01
3.02000E-08,1.68457E+01,7.60957E-01
3.04000E-08,1.66504E+01,7.70723E-01
3.06000E-08,1.65527E+01,7.80488E-01
3.08000E-08,1.66504E+01,7.80488E-01
3.10000E-08,1.67480E+01,7.75605E-01
3.12000E-08,1.67480E+01,7.75605E-01
3.14000E-08,1.67480E+01,7.75605E-01
3.16000E-08,1.67480E+01,7.70723E-01
3.18000E-08,1.67480E+01,7.65840E-01
3.20000E-08,1.67480E+01,7.80488E-01
3.22000E-08,1.67480E+01,7.95137E-01
3.24000E-08,1.68457E+01,7.95137E-01
3.26000E-08,1.68457E+01,7.85371E-01
3.28000E-08,1.67480E+01,7.75605E-01
3.30000E-08,1.67480E+01,7.80488E-01
3.32000E-08,1.67480E+01,7.90254E-01
3.34000E-08,1.68457E+01,7.95137E-01
3.36000E-08,1.68457E+01,7.90254E-01
3.38000E-08,1.68457E+01,7.85371E-01
3.40000E-08,1.69434E+01,7.80488E-01
3.42000E-08,1.69434E+01,7.75605E-01
3.44000E-08,1.67480E+01,7.75605E-01
3.46000E-08,1.65527E+01,7.80488E-01
3.48000E-08,1.64551E+01,7.80488E-01
3.50000E-08,1.65527E+01,7.80488E-01
3.52000E-08,1.67480E+01,7.80488E-01
3.54000E-08,1.69434E+01,7.80488E-01
3.56000E-08,1.69434E+01,7.85371E-01
3.58000E-08,1.67480E+01,7.90254E-01
3.60000E-08,1.65527E+01,7.90254E-01
3.62000E-08,1.65527E+01,7.85371E-01
3.64000E-08,1.67480E+01,7.80488E-01
3.66000E-08,1.68457E+01,7.85371E-01
3.68000E-08,1.68457E+01,7.90254E-01
3.70000E-08,1.67480E+01,7.90254E-01
3.72000E-08,1.68457E+01,7.85371E-01
3.74000E-08,1.71387E+01,7.90254E-01
3.76000E-08,1.72363E+01,8.14668E-01
3.78000E-08,1.71387E+01,8.29316E-01
3.80000E-08,1.68457E+01,8.24434E-01
3.82000E-08,1.65527E+01,8.14668E-01
3.84000E-08,1.65527E+01,8.19551E-01
3.86000E-08,1.68457E+01,8.34199E-01
3.88000E-08,1.70410E+01,8.48848E-01
3.90000E-08,1.70410E+01,8.63496E-01
3.92000E-08,1.68457E+01,8.78145E-01
3.94000E-08,1.68457E+01,8.92793E-01
3.96000E-08,1.70410E+01,9.07441E-01
3.98000E-08,1.71387E+01,9.22090E-01
4.00000E-08,1.70410E+01,9.41621E-01
4.02000E-08,1.68457E+01,9.56270E-01
4.04000E-08,1.68457E+01,9.56270E-01
4.06000E-08,1.67480E+01,9.61152E-01
4.08000E-08,1.65527E+01,9.75801E-01
4.10000E-08,1.65527E+01,9.95332E-01
4.12000E-08,1.67480E+01,1.00998E+00
4.14000E-08,1.69434E+01,1.01975E+00
4.16000E-08,1.68457E+01,1.03439E+00
4.18000E-08,1.67480E+01,1.05393E+00
4.20000E-08,1.69434E+01,1.06857E+00
4.22000E-08,1.70410E+01,1.07834E+00
4.24000E-08,1.69434E+01,1.08322E+00
4.26000E-08,1.68457E+01,1.08811E+00
4.28000E-08,1.70410E+01,1.09299E+00
4.30000E-08,1.71387E+01,1.10275E+00
4.32000E-08,1.69434E+01,1.11740E+00
4.34000E-08,1.66504E+01,1.12717E+00
4.36000E-08,1.67480E+01,1.12717E+00
4.38000E-08,1.71387E+01,1.12717E+00
4.40000E-08,1.72363E+01,1.13693E+00
4.42000E-08,1.70410E+01,1.15158E+00
4.44000E-08,1.67480E+01,1.16623E+00
4.46000E-08,1.67480E+01,1.16623E+00
4.48000E-08,1.68457E+01,1.15646E+00
4.50000E-08,1.70410E+01,1.15158E+00
4.52000E-08,1.70410E+01,1.15158E+00
4.54000E-08,1.69434E+01,1.15646E+00
4.56000E-08,1.67480E+01,1.15646E+00
4.58000E-08,1.67480E+01,1.15646E+00
4.60000E-08,1.68457E+01,1.15646E+00
4.62000E-08,1.69434E+01,1.16135E+00
4.64000E-08,1.69434E+01,1.16623E+00
4.66000E-08,1.69434E+01,1.16623E+00
4.68000E-08,1.70410E+01,1.16623E+00
4.70000E-08,1.70410E+01,1.16623E+00
4.72000E-08,1.68457E+01,1.17111E+00
4.74000E-08,1.67480E+01,1.17600E+00
4.76000E-08,1.68457E+01,1.17600E+00
4.78000E-08,1.69434E+01,1.16623E+00
4.80000E-08,1.68457E+01,1.15646E+00
4.82000E-08,1.68457E+01,1.16135E+00
4.84000E-08,1.69434E+01,1.17600E+00
4.86000E-08,1.70410E+01,1.18576E+00
4.88000E-08,1.69434E+01,1.18576E+00
4.90000E-08,1.67480E+01,1.17600E+00
4.92000E-08,1.67480E+01,1.16135E+00
4.94000E-08,1.68457E+01,1.15646E+00
4.96000E-08,1.68457E+01,1.16135E+00
4.98000E-08,1.68457E+01,1.17600E+00
5.00000E-08,1.70410E+01,1.19064E+00
5.02000E-08,1.71387E+01,1.19064E+00
5.04000E-08,1.70410E+01,1.18088E+00
5.06000E-08,1.69434E+01,1.17111E+00
